Location,Year,Cut,Block,Position,ID,Treatment,MSC
OR,2020,1,6,15,30615,150,3.8
OR,2020,1,6,17,30617,98,3.9
OR,2020,1,6,19,30619,88,4
OR,2020,1,7,1,30701,149,3.9
OR,2020,1,7,3,30703,138,4
OR,2020,1,7,5,30705,31,4.1
OR,2020,1,7,7,30707,70,4.1
OR,2020,1,7,9,30709,142,4
OR,2020,1,7,11,30711,111,3.9
OR,2020,1,7,13,30713,186,4
OR,2020,1,7,15,30715,143,3.9
OR,2020,1,7,17,30717,132,4
OR,2020,1,7,19,30719,202,3.8
OR,2020,1,8,1,30801,58,4.3
OR,2020,1,8,3,30803,36,3.8
OR,2020,1,8,5,30805,169,4
OR,2020,1,8,7,30807,201,4
OR,2020,1,8,9,30809,105,4
OR,2020,1,8,11,30811,158,4.1
OR,2020,1,8,13,30813,135,4.2
OR,2020,1,8,15,30815,57,4
OR,2020,1,8,17,30817,56,3.9
OR,2020,1,8,19,30819,61,4.1
OR,2020,1,9,1,30901,96,3.8
OR,2020,1,9,3,30903,64,3.9
OR,2020,1,9,5,30905,196,4
OR,2020,1,9,7,30907,202,4
OR,2020,1,9,9,30909,170,4
OR,2020,1,9,11,30911,16,4
OR,2020,1,9,13,30913,33,3.9
OR,2020,1,9,15,30915,23,3.8
OR,2020,1,9,17,30917,128,4
OR,2020,1,9,19,30919,52,3.9
OR,2020,1,10,1,31001,148,3.6
OR,2020,1,10,3,31003,80,3.9
OR,2020,1,10,5,31005,93,4
OR,2020,1,10,7,31007,83,3.8
OR,2020,1,10,9,31009,125,3.8
OR,2020,1,10,11,31011,172,4
OR,2020,1,10,13,31013,89,4
OR,2020,1,10,15,31015,107,3.7
OR,2020,1,10,17,31017,201,4
OR,2020,1,10,19,31019,32,3.9
OR,2020,1,11,1,31101,2,4
OR,2020,1,11,3,31103,201,3.5
OR,2020,1,11,5,31105,180,4
OR,2020,1,11,7,31107,9,4.1
OR,2020,1,11,9,31109,53,3.9
OR,2020,1,11,11,31111,198,4
OR,2020,1,11,13,31113,43,3.7
OR,2020,1,11,15,31115,163,3.8
OR,2020,1,11,17,31117,97,4.2
OR,2020,1,11,19,31119,124,4
OR,2020,1,1,2,30102,90,3.4
OR,2020,1,1,4,30104,55,3.8
OR,2020,1,1,6,30106,192,3.5
OR,2020,1,1,8,30108,48,4.1
OR,2020,1,1,10,30110,159,3.6
OR,2020,1,1,12,30112,95,3.9
OR,2020,1,1,14,30114,81,3.8
OR,2020,1,1,16,30116,123,3.8
OR,2020,1,1,18,30118,160,3.8
OR,2020,1,1,20,30120,202,4
OR,2020,1,2,2,30202,121,3.8
OR,2020,1,2,4,30204,65,3.8
OR,2020,1,2,6,30206,25,3.9
OR,2020,1,2,8,30208,40,3.9
OR,2020,1,2,10,30210,201,3.7
OR,2020,1,2,12,30212,21,4
OR,2020,1,2,14,30214,92,3.9
OR,2020,1,2,16,30216,193,3.8
OR,2020,1,2,18,30218,94,3.9
OR,2020,1,2,20,30220,51,4.2
OR,2020,1,3,2,30302,113,3.9
OR,2020,1,3,4,30304,37,3.9
OR,2020,1,3,6,30306,84,3.9
OR,2020,1,3,8,30308,187,3.9
OR,2020,1,3,10,30310,110,3.8
OR,2020,1,3,12,30312,79,3.9
OR,2020,1,3,14,30314,77,4
OR,2020,1,3,16,30316,161,4
OR,2020,1,3,18,30318,177,3.9
OR,2020,1,3,20,30320,201,3.9
OR,2020,1,4,2,30402,197,3.9
OR,2020,1,4,4,30404,49,4
OR,2020,1,4,6,30406,201,3.8
OR,2020,1,4,8,30408,63,3.8
OR,2020,1,4,10,30410,44,3.9
OR,2020,1,4,12,30412,115,3.8
OR,2020,1,4,14,30414,112,3.8
OR,2020,1,4,16,30416,85,3.9
OR,2020,1,4,18,30418,67,3.9
OR,2020,1,4,20,30420,182,3.7
OR,2020,1,5,2,30502,171,3.9
OR,2020,1,5,4,30504,119,3.8
OR,2020,1,5,6,30506,17,3.8
OR,2020,1,5,8,30508,202,3.9
OR,2020,1,5,10,30510,50,4
OR,2020,1,5,12,30512,62,3.9
OR,2020,1,5,14,30514,122,3.7
OR,2020,1,5,16,30516,71,3.8
OR,2020,1,5,18,30518,39,3.9
OR,2020,1,5,20,30520,38,3.8
OR,2020,1,6,2,30602,116,3.8
OR,2020,1,6,4,30604,156,3.9
OR,2020,1,6,6,30606,140,4
OR,2020,1,6,8,30608,109,4
OR,2020,1,6,10,30610,185,4
OR,2020,1,6,12,30612,202,3.8
OR,2020,1,6,14,30614,87,3.8
OR,2020,1,6,16,30616,155,3.9
OR,2020,1,6,18,30618,3,4
OR,2020,1,6,20,30620,69,4
OR,2020,1,7,2,30702,165,4
OR,2020,1,7,4,30704,201,4.1
OR,2020,1,7,6,30706,152,4
OR,2020,1,7,8,30708,151,3.9
OR,2020,1,7,10,30710,117,4
OR,2020,1,7,12,30712,166,3.8
OR,2020,1,7,14,30714,24,3.6
OR,2020,1,7,16,30716,168,3.8
OR,2020,1,7,18,30718,174,4.1
OR,2020,1,7,20,30720,20,3.8
OR,2020,1,8,2,30802,66,3.9
OR,2020,1,8,4,30804,19,3.8
OR,2020,1,8,6,30806,118,3.9
OR,2020,1,8,8,30808,91,4
OR,2020,1,8,10,30810,72,3.9
OR,2020,1,8,12,30812,141,3.9
OR,2020,1,8,14,30814,162,3.9
OR,2020,1,8,16,30816,12,4
OR,2020,1,8,18,30818,202,3.9
OR,2020,1,8,20,30820,184,3.8
OR,2020,1,9,2,30902,114,3.9
OR,2020,1,9,4,30904,164,4
OR,2020,1,9,6,30906,68,3.9
OR,2020,1,9,8,30908,30,4
OR,2020,1,9,10,30910,120,3.9
OR,2020,1,9,12,30912,86,4.2
OR,2020,1,9,14,30914,8,3.9
OR,2020,1,9,16,30916,201,4
OR,2020,1,9,18,30918,194,3.9
OR,2020,1,9,20,30920,73,3.8
OR,2020,1,10,2,31002,157,3.7
OR,2020,1,10,4,31004,6,3.9
OR,2020,1,10,6,31006,45,4
OR,2020,1,10,8,31008,147,3.9
OR,2020,1,10,10,31010,202,3.8
OR,2020,1,10,12,31012,106,3.8
OR,2020,1,10,14,31014,127,4.3
OR,2020,1,10,16,31016,103,4
OR,2020,1,10,18,31018,7,3.8
OR,2020,1,10,20,31020,175,3.7
OR,2020,1,11,2,31102,11,3.8
OR,2020,1,11,4,31104,5,4
OR,2020,1,11,6,31106,136,3.9
OR,2020,1,11,8,31108,26,3.9
OR,2020,1,11,10,31110,1,4.1
OR,2020,1,11,12,31112,42,3.9
OR,2020,1,11,14,31114,14,3.2
OR,2020,1,11,16,31116,130,3.3
OR,2020,1,11,18,31118,202,4.3
OR,2020,1,11,20,31120,35,4.1
OR,2020,2,1,3,30103,201,2.5
OR,2020,2,2,17,30217,202,3.4
OR,2020,2,3,9,30309,202,3
OR,2020,2,3,11,30311,144,3.4
OR,2020,2,3,17,30317,104,2.2
OR,2020,2,4,13,30413,202,2.4
OR,2020,2,5,5,30505,201,2.8
OR,2020,2,6,1,30601,201,2.3
OR,2020,2,7,19,30719,202,3.3
OR,2020,2,8,7,30807,201,2.6
OR,2020,2,8,19,30819,61,2.4
OR,2020,2,9,7,30907,202,3.1
OR,2020,2,10,17,31017,201,2.7
OR,2020,2,11,3,31103,201,3.1
OR,2020,2,1,20,30120,202,3.5
OR,2020,2,2,10,30210,201,2.8
OR,2020,2,3,20,30320,201,2.6
OR,2020,2,4,6,30406,201,2.5
OR,2020,2,4,10,30410,44,2.4
OR,2020,2,4,14,30414,112,2.1
OR,2020,2,5,8,30508,202,2.9
OR,2020,2,6,12,30612,202,2.7
OR,2020,2,7,4,30704,201,2.5
OR,2020,2,8,18,30818,202,2.9
OR,2020,2,9,16,30916,201,2.7
OR,2020,2,10,10,31010,202,3
OR,2020,2,11,18,31118,202,2.4
OR,2020,3,1,3,30103,201,3.1
OR,2020,3,2,17,30217,202,3.2
OR,2020,3,3,9,30309,202,3.2
OR,2020,3,3,11,30311,144,3.2
OR,2020,3,3,17,30317,104,3.1
OR,2020,3,4,13,30413,202,3.3
OR,2020,3,5,5,30505,201,2.6
OR,2020,3,6,1,30601,201,3.2
OR,2020,3,7,19,30719,202,3.5
OR,2020,3,8,7,30807,201,2.6
OR,2020,3,8,19,30819,61,4
OR,2020,3,9,7,30907,202,3.5
OR,2020,3,10,17,31017,201,2.5
OR,2020,3,11,3,31103,201,3.1
OR,2020,3,1,20,30120,202,2.9
OR,2020,3,2,10,30210,201,3.3
OR,2020,3,3,20,30320,201,3.4
OR,2020,3,4,6,30406,201,3.4
OR,2020,3,4,10,30410,44,3.5
OR,2020,3,4,14,30414,112,2.3
OR,2020,3,5,8,30508,202,3.2
OR,2020,3,6,12,30612,202,3
OR,2020,3,7,4,30704,201,2.9
OR,2020,3,8,18,30818,202,3.4
OR,2020,3,9,16,30916,201,2.6
OR,2020,3,10,10,31010,202,3.4
OR,2020,3,11,18,31118,202,3.5
OR,2020,4,1,3,30103,201,2.8
OR,2020,4,2,17,30217,202,3.5
OR,2020,4,3,9,30309,202,2.3
OR,2020,4,3,11,30311,144,2.9
OR,2020,4,3,17,30317,104,2.4
OR,2020,4,4,13,30413,202,3
OR,2020,4,5,5,30505,201,2.7
OR,2020,4,6,1,30601,201,3.2
OR,2020,4,7,19,30719,202,2.4
OR,2020,4,8,7,30807,201,3.1
OR,2020,4,8,19,30819,61,2.3
OR,2020,4,9,7,30907,202,3.1
OR,2020,4,10,17,31017,201,2.7
OR,2020,4,11,3,31103,201,2.7
OR,2020,4,1,20,30120,202,3.1
OR,2020,4,2,10,30210,201,3
OR,2020,4,3,20,30320,201,3.2
OR,2020,4,4,6,30406,201,2.9
OR,2020,4,4,10,30410,44,2.6
OR,2020,4,4,14,30414,112,2.3
OR,2020,4,5,8,30508,202,2.7
OR,2020,4,6,12,30612,202,2.3
OR,2020,4,7,4,30704,201,2.6
OR,2020,4,8,18,30818,202,2.6
OR,2020,4,9,16,30916,201,3.7
OR,2020,4,10,10,31010,202,2.1
OR,2020,4,11,18,31118,202,2.9
OR,2019,1,3,15,30315,54,
OR,2019,1,3,17,30317,104,
OR,2019,1,3,19,30319,4,
OR,2019,1,4,1,30401,108,
OR,2019,1,4,3,30403,100,
OR,2019,1,4,5,30405,15,
OR,2019,1,4,7,30407,13,
OR,2019,1,4,9,30409,191,
OR,2019,1,4,11,30411,102,
OR,2019,1,4,13,30413,202,
OR,2019,1,4,15,30415,131,
OR,2019,1,4,17,30417,126,
OR,2019,1,4,19,30419,47,
OR,2019,1,5,1,30501,75,
OR,2019,1,5,3,30503,154,
OR,2019,1,5,5,30505,201,
OR,2019,1,5,7,30507,22,
OR,2019,1,5,9,30509,82,
OR,2019,1,5,11,30511,134,
OR,2019,1,5,13,30513,29,
OR,2019,1,5,15,30515,137,
OR,2019,1,5,17,30517,41,
OR,2019,1,5,19,30519,28,
OR,2019,1,6,1,30601,201,
OR,2019,1,6,3,30603,60,
OR,2019,1,6,5,30605,188,
OR,2019,1,6,7,30607,76,
OR,2019,1,6,9,30609,101,
OR,2019,1,6,11,30611,146,
OR,2019,1,6,13,30613,129,
OR,2019,1,6,15,30615,150,
OR,2019,1,6,17,30617,98,
OR,2019,1,6,19,30619,88,
OR,2019,1,7,1,30701,149,
OR,2019,1,7,3,30703,138,
OR,2019,1,7,5,30705,31,
OR,2019,1,7,7,30707,70,
OR,2019,1,7,9,30709,142,
OR,2019,1,7,11,30711,111,
OR,2019,1,7,13,30713,186,
OR,2019,1,7,15,30715,143,
OR,2019,1,7,17,30717,132,
OR,2019,1,7,19,30719,202,
OR,2019,1,8,1,30801,58,
OR,2019,1,8,3,30803,36,
OR,2019,1,8,5,30805,169,
OR,2019,1,8,7,30807,201,
OR,2019,1,8,9,30809,105,
OR,2019,1,8,11,30811,158,
OR,2019,1,8,13,30813,135,
OR,2019,1,8,15,30815,57,
OR,2019,1,8,17,30817,56,
OR,2019,1,8,19,30819,61,
OR,2019,1,9,1,30901,96,
OR,2019,1,9,3,30903,64,
OR,2019,1,9,5,30905,196,
OR,2019,1,9,7,30907,202,
OR,2019,1,9,9,30909,170,
OR,2019,1,9,11,30911,16,
OR,2019,1,9,13,30913,33,
OR,2019,1,9,15,30915,23,
OR,2019,1,9,17,30917,128,
OR,2019,1,9,19,30919,52,
OR,2019,1,10,1,31001,148,
OR,2019,1,10,3,31003,80,
OR,2019,1,10,5,31005,93,
OR,2019,1,10,7,31007,83,
OR,2019,1,10,9,31009,125,
OR,2019,1,10,11,31011,172,
OR,2019,1,10,13,31013,89,
OR,2019,1,10,15,31015,107,
OR,2019,1,10,17,31017,201,
OR,2019,1,10,19,31019,32,
OR,2019,1,11,1,31101,2,
OR,2019,1,11,3,31103,201,
OR,2019,1,11,5,31105,180,
OR,2019,1,11,7,31107,9,
OR,2019,1,11,9,31109,53,
OR,2019,1,11,11,31111,198,
OR,2019,1,11,13,31113,43,
OR,2019,1,11,15,31115,163,
OR,2019,1,11,17,31117,97,
OR,2019,1,11,19,31119,124,
OR,2019,1,1,2,30102,90,
OR,2019,1,1,4,30104,55,
OR,2019,1,1,6,30106,192,
OR,2019,1,1,8,30108,48,
OR,2019,1,1,10,30110,159,
OR,2019,1,1,12,30112,95,
OR,2019,1,1,14,30114,81,
OR,2019,1,1,16,30116,123,
OR,2019,1,1,18,30118,160,
OR,2019,1,1,20,30120,202,
OR,2019,1,2,2,30202,121,
OR,2019,1,2,4,30204,65,
OR,2019,1,2,6,30206,25,
OR,2019,1,2,8,30208,40,
OR,2019,1,2,10,30210,201,
OR,2019,1,2,12,30212,21,
OR,2019,1,2,14,30214,92,
OR,2019,1,2,16,30216,193,
OR,2019,1,2,18,30218,94,
OR,2019,1,2,20,30220,51,
OR,2019,1,3,2,30302,113,
OR,2019,1,3,4,30304,37,
OR,2019,1,3,6,30306,84,
OR,2019,1,3,8,30308,187,
OR,2019,1,3,10,30310,110,
OR,2019,1,3,12,30312,79,
OR,2019,1,3,14,30314,77,
OR,2019,1,3,16,30316,161,
OR,2019,1,3,18,30318,177,
OR,2019,1,3,20,30320,201,
OR,2019,1,4,2,30402,197,
OR,2019,1,4,4,30404,49,
OR,2019,1,4,6,30406,201,
OR,2019,1,4,8,30408,63,
OR,2019,1,4,10,30410,44,
OR,2019,1,4,12,30412,115,
OR,2019,1,4,14,30414,112,
OR,2019,1,4,16,30416,85,
OR,2019,1,4,18,30418,67,
OR,2019,1,4,20,30420,182,
OR,2019,1,5,2,30502,171,
OR,2019,1,5,4,30504,119,
OR,2019,1,5,6,30506,17,
OR,2019,1,5,8,30508,202,
OR,2019,1,5,10,30510,50,
OR,2019,1,5,12,30512,62,
OR,2019,1,5,14,30514,122,
OR,2019,1,5,16,30516,71,
OR,2019,1,5,18,30518,39,
OR,2019,1,5,20,30520,38,
OR,2019,1,6,2,30602,116,
OR,2019,1,6,4,30604,156,
OR,2019,1,6,6,30606,140,
OR,2019,1,6,8,30608,109,
OR,2019,1,6,10,30610,185,
OR,2019,1,6,12,30612,202,
OR,2019,1,6,14,30614,87,
OR,2019,1,6,16,30616,155,
OR,2019,1,6,18,30618,3,
OR,2019,1,6,20,30620,69,
OR,2019,1,7,2,30702,165,
OR,2019,1,7,4,30704,201,
OR,2019,1,7,6,30706,152,
OR,2019,1,7,8,30708,151,
OR,2019,1,7,10,30710,117,
OR,2019,1,7,12,30712,166,
OR,2019,1,7,14,30714,24,
OR,2019,1,7,16,30716,168,
OR,2019,1,7,18,30718,174,
OR,2019,1,7,20,30720,20,
OR,2019,1,8,2,30802,66,
OR,2019,1,8,4,30804,19,
OR,2019,1,8,6,30806,118,
OR,2019,1,8,8,30808,91,
OR,2019,1,8,10,30810,72,
OR,2019,1,8,12,30812,141,
OR,2019,1,8,14,30814,162,
OR,2019,1,8,16,30816,12,
OR,2019,1,8,18,30818,202,
OR,2019,1,8,20,30820,184,
OR,2019,1,9,2,30902,114,
OR,2019,1,9,4,30904,164,
OR,2019,1,9,6,30906,68,
OR,2019,1,9,8,30908,30,
OR,2019,1,9,10,30910,120,
OR,2019,1,9,12,30912,86,
OR,2019,1,9,14,30914,8,
OR,2019,1,9,16,30916,201,
OR,2019,1,9,18,30918,194,
OR,2019,1,9,20,30920,73,
OR,2019,1,10,2,31002,157,
OR,2019,1,10,4,31004,6,
OR,2019,1,10,6,31006,45,
OR,2019,1,10,8,31008,147,
OR,2019,1,10,10,31010,202,
OR,2019,1,10,12,31012,106,
OR,2019,1,10,14,31014,127,
OR,2019,1,10,16,31016,103,
OR,2019,1,10,18,31018,7,
OR,2019,1,10,20,31020,175,
OR,2019,1,11,2,31102,11,
OR,2019,1,11,4,31104,5,
OR,2019,1,11,6,31106,136,
OR,2019,1,11,8,31108,26,
OR,2019,1,11,10,31110,1,
OR,2019,1,11,12,31112,42,
OR,2019,1,11,14,31114,14,
OR,2019,1,11,16,31116,130,
OR,2019,1,11,18,31118,202,
OR,2019,1,11,20,31120,35,
OR,2019,2,1,3,30103,201,
OR,2019,2,2,17,30217,202,
OR,2019,2,3,9,30309,202,
OR,2019,2,3,11,30311,144,
OR,2019,2,3,17,30317,104,
OR,2019,2,4,13,30413,202,
OR,2019,2,5,5,30505,201,
OR,2019,2,6,1,30601,201,
OR,2019,2,7,19,30719,202,
OR,2019,2,8,7,30807,201,
OR,2019,2,8,19,30819,61,
OR,2019,2,9,7,30907,202,
OR,2019,2,10,17,31017,201,
OR,2019,2,11,3,31103,201,
OR,2019,2,1,20,30120,202,
OR,2019,2,2,10,30210,201,
OR,2019,2,3,20,30320,201,
OR,2019,2,4,6,30406,201,
OR,2019,2,4,10,30410,44,
OR,2019,2,4,14,30414,112,
OR,2019,2,5,8,30508,202,
OR,2019,2,6,12,30612,202,
OR,2019,2,7,4,30704,201,
OR,2019,2,8,18,30818,202,
OR,2019,2,9,16,30916,201,
OR,2019,2,10,10,31010,202,
OR,2019,2,11,18,31118,202,
OR,2019,3,1,3,30103,201,
OR,2019,3,2,17,30217,202,
OR,2019,3,3,9,30309,202,
OR,2019,3,3,11,30311,144,
OR,2019,3,3,17,30317,104,
OR,2019,3,4,13,30413,202,
OR,2019,3,5,5,30505,201,
OR,2019,3,6,1,30601,201,
OR,2019,3,7,19,30719,202,
OR,2019,3,8,7,30807,201,
OR,2019,3,8,19,30819,61,
OR,2019,3,9,7,30907,202,
OR,2019,3,10,17,31017,201,
OR,2019,3,11,3,31103,201,
OR,2019,3,1,20,30120,202,
OR,2019,3,2,10,30210,201,
OR,2019,3,3,20,30320,201,
OR,2019,3,4,6,30406,201,
OR,2019,3,4,10,30410,44,
OR,2019,3,4,14,30414,112,
OR,2019,3,5,8,30508,202,
OR,2019,3,6,12,30612,202,
OR,2019,3,7,4,30704,201,
OR,2019,3,8,18,30818,202,
OR,2019,3,9,16,30916,201,
OR,2019,3,10,10,31010,202,
OR,2019,3,11,18,31118,202,
OR,2019,4,1,3,30103,201,
OR,2019,4,2,17,30217,202,
OR,2019,4,3,9,30309,202,
OR,2019,4,3,11,30311,144,
OR,2019,4,3,17,30317,104,
OR,2019,4,4,13,30413,202,
OR,2019,4,5,5,30505,201,
OR,2019,4,6,1,30601,201,
OR,2019,4,7,19,30719,202,
OR,2019,4,8,7,30807,201,
OR,2019,4,8,19,30819,61,
OR,2019,4,9,7,30907,202,
OR,2019,4,10,17,31017,201,
OR,2019,4,11,3,31103,201,
OR,2019,4,1,20,30120,202,
OR,2019,4,2,10,30210,201,
OR,2019,4,3,20,30320,201,
OR,2019,4,4,6,30406,201,
OR,2019,4,4,10,30410,44,
OR,2019,4,4,14,30414,112,
OR,2019,4,5,8,30508,202,
OR,2019,4,6,12,30612,202,
OR,2019,4,7,4,30704,201,
OR,2019,4,8,18,30818,202,
OR,2019,4,9,16,30916,201,
OR,2019,4,10,10,31010,202,
OR,2019,4,11,18,31118,202,
OR,2020,1,1,1,30101,34,
OR,2020,1,1,3,30103,201,
OR,2020,1,1,5,30105,10,
OR,2020,1,1,7,30107,145,
OR,2020,1,1,9,30109,74,
OR,2020,1,1,11,30111,176,
OR,2020,1,1,13,30113,190,
OR,2020,1,1,15,30115,167,
OR,2020,1,1,17,30117,46,
OR,2020,1,1,19,30119,18,
OR,2020,1,2,1,30201,178,
OR,2020,1,2,3,30203,173,
OR,2020,1,2,5,30205,181,
OR,2020,1,2,7,30207,153,
OR,2020,1,2,9,30209,78,
OR,2020,1,2,11,30211,179,
OR,2020,1,2,13,30213,59,
OR,2020,1,2,15,30215,27,
OR,2020,1,2,17,30217,202,
OR,2020,1,2,19,30219,99,
OR,2020,1,3,1,30301,139,
OR,2020,1,3,3,30303,183,
OR,2020,1,3,5,30305,189,
OR,2020,1,3,7,30307,133,
OR,2020,1,3,9,30309,202,
OR,2020,1,3,11,30311,144,
OR,2020,1,3,13,30313,195,
OR,2020,1,3,15,30315,54,
OR,2020,1,3,17,30317,104,
OR,2020,1,3,19,30319,4,
OR,2020,1,4,1,30401,108,
OR,2020,1,4,3,30403,100,
OR,2020,1,4,5,30405,15,
OR,2020,1,4,7,30407,13,
OR,2020,1,4,9,30409,191,
OR,2020,1,4,11,30411,102,
OR,2020,1,4,13,30413,202,
OR,2020,1,4,15,30415,131,
OR,2020,1,4,17,30417,126,
OR,2020,1,4,19,30419,47,
OR,2020,1,5,1,30501,75,
OR,2020,1,5,3,30503,154,
OR,2020,1,5,5,30505,201,
OR,2020,1,5,7,30507,22,
OR,2020,1,5,9,30509,82,
OR,2020,1,5,11,30511,134,
OR,2020,1,5,13,30513,29,
OR,2020,1,5,15,30515,137,
OR,2020,1,5,17,30517,41,
OR,2020,1,5,19,30519,28,
OR,2020,1,6,1,30601,201,
OR,2020,1,6,3,30603,60,
OR,2020,1,6,5,30605,188,
OR,2020,1,6,7,30607,76,
OR,2020,1,6,9,30609,101,
OR,2020,1,6,11,30611,146,
OR,2020,1,6,13,30613,129,
OR,2020,1,6,15,30615,150,
OR,2020,1,6,17,30617,98,
OR,2020,1,6,19,30619,88,
OR,2020,1,7,1,30701,149,
OR,2020,1,7,3,30703,138,
OR,2020,1,7,5,30705,31,
OR,2020,1,7,7,30707,70,
OR,2020,1,7,9,30709,142,
OR,2020,1,7,11,30711,111,
OR,2020,1,7,13,30713,186,
OR,2020,1,7,15,30715,143,
OR,2020,1,7,17,30717,132,
OR,2020,1,7,19,30719,202,
OR,2020,1,8,1,30801,58,
OR,2020,1,8,3,30803,36,
OR,2020,1,8,5,30805,169,
OR,2020,1,8,7,30807,201,
OR,2020,1,8,9,30809,105,
OR,2020,1,8,11,30811,158,
OR,2020,1,8,13,30813,135,
OR,2020,1,8,15,30815,57,
OR,2020,1,8,17,30817,56,
OR,2020,1,8,19,30819,61,
OR,2020,1,9,1,30901,96,
OR,2020,1,9,3,30903,64,
OR,2020,1,9,5,30905,196,
OR,2020,1,9,7,30907,202,
OR,2020,1,9,9,30909,170,
OR,2020,1,9,11,30911,16,
OR,2020,1,9,13,30913,33,
OR,2020,1,9,15,30915,23,
OR,2020,1,9,17,30917,128,
OR,2020,1,9,19,30919,52,
OR,2020,1,10,1,31001,148,
OR,2020,1,10,3,31003,80,
OR,2020,1,10,5,31005,93,
OR,2020,1,10,7,31007,83,
OR,2020,1,10,9,31009,125,
OR,2020,1,10,11,31011,172,
OR,2020,1,10,13,31013,89,
OR,2020,1,10,15,31015,107,
OR,2020,1,10,17,31017,201,
OR,2020,1,10,19,31019,32,
OR,2020,1,11,1,31101,2,
OR,2020,1,11,3,31103,201,
OR,2020,1,11,5,31105,180,
OR,2020,1,11,7,31107,9,
OR,2020,1,11,9,31109,53,
OR,2020,1,11,11,31111,198,
OR,2020,1,11,13,31113,43,
OR,2020,1,11,15,31115,163,
OR,2020,1,11,17,31117,97,
OR,2020,1,11,19,31119,124,
OR,2020,1,1,2,30102,90,
OR,2020,1,1,4,30104,55,
OR,2020,1,1,6,30106,192,
OR,2020,1,1,8,30108,48,
OR,2020,1,1,10,30110,159,
OR,2020,1,1,12,30112,95,
OR,2020,1,1,14,30114,81,
OR,2020,1,1,16,30116,123,
OR,2020,1,1,18,30118,160,
OR,2020,1,1,20,30120,202,
OR,2020,1,2,2,30202,121,
OR,2020,1,2,4,30204,65,
OR,2020,1,2,6,30206,25,
OR,2020,1,2,8,30208,40,
OR,2020,1,2,10,30210,201,
OR,2020,1,2,12,30212,21,
OR,2020,1,2,14,30214,92,
OR,2020,1,2,16,30216,193,
OR,2020,1,2,18,30218,94,
OR,2020,1,2,20,30220,51,
OR,2020,1,3,2,30302,113,
OR,2020,1,3,4,30304,37,
OR,2020,1,3,6,30306,84,
OR,2020,1,3,8,30308,187,
OR,2020,1,3,10,30310,110,
OR,2020,1,3,12,30312,79,
OR,2020,1,3,14,30314,77,
OR,2020,1,3,16,30316,161,
OR,2020,1,3,18,30318,177,
OR,2020,1,3,20,30320,201,
OR,2020,1,4,2,30402,197,
OR,2020,1,4,4,30404,49,
OR,2020,1,4,6,30406,201,
OR,2020,1,4,8,30408,63,
OR,2020,1,4,10,30410,44,
OR,2020,1,4,12,30412,115,
OR,2020,1,4,14,30414,112,
OR,2020,1,4,16,30416,85,
OR,2020,1,4,18,30418,67,
OR,2020,1,4,20,30420,182,
OR,2020,1,5,2,30502,171,
OR,2020,1,5,4,30504,119,
OR,2020,1,5,6,30506,17,
OR,2020,1,5,8,30508,202,
OR,2020,1,5,10,30510,50,
