Location,Year,Cut,Block,Position,ID,Treatment,P_Height,DM_Pct,Yield_MgHa
OR,2020,1,10,5,31005,93,,21.1865220313,7.1904
OR,2020,1,10,7,31007,83,,20.8561708562,7.1904
OR,2020,1,10,9,31009,125,,20.6920987363,6.1824
OR,2020,1,10,11,31011,172,,20.5085986096,5.824
OR,2020,1,10,13,31013,89,,22.2464683588,7.6608
OR,2020,1,10,15,31015,107,,23.231835025,5.9136
OR,2020,1,10,17,31017,201,,22.6293968169,6.16
OR,2020,1,10,19,31019,32,,22.4243164063,6.9664
OR,2020,1,11,1,31101,2,,24.0013934046,7.2576
OR,2020,1,11,3,31103,201,,21.2602166888,5.824
OR,2020,1,11,5,31105,180,,21.7617897547,5.8016
OR,2020,1,11,7,31107,9,,19.759062063,6.9664
OR,2020,1,11,9,31109,53,,20.6268958544,5.8464
OR,2020,1,11,11,31111,198,,20.3893327332,7.3024
OR,2020,1,11,13,31113,43,,20.4010640475,5.7792
OR,2020,1,11,15,31115,163,,22.1062848823,7.3024
OR,2020,1,11,17,31117,97,,22.408242112,6.2944
OR,2020,1,11,19,31119,124,,20.3668959767,5.7792
OR,2020,1,1,2,30102,90,,21.0304562417,4.6968781644
OR,2020,1,1,4,30104,55,,24.5748089721,5.2068082938
OR,2020,1,1,6,30106,192,,22.615527583,6.0736695095
OR,2020,1,1,8,30108,48,,22.7111263894,5.5506138247
OR,2020,1,1,10,30110,159,,20.7199780159,6.4503114922
OR,2020,1,1,12,30112,95,,23.600908241,6.535691899
OR,2020,1,1,14,30114,81,,23.6445549169,7.0091994258
OR,2020,1,1,16,30116,123,,23.4331387973,6.5327841665
OR,2020,1,1,18,30118,160,,22.1318799142,7.404016812
OR,2020,1,1,20,30120,202,,21.7115417596,7.9695601029
OR,2020,1,2,2,30202,121,,22.8405599181,6.8345387177
OR,2020,1,2,4,30204,65,,24.0102171137,6.7606010115
OR,2020,1,2,6,30206,25,,23.0186774356,5.8610782595
OR,2020,1,2,8,30208,40,,22.3165715802,5.9407378237
OR,2020,1,2,10,30210,201,,23.4927499364,7.0078609941
OR,2020,1,2,12,30212,21,,23.6424684497,6.7009942897
OR,2020,1,2,14,30214,92,,23.5765928604,6.5289583516
OR,2020,1,2,16,30216,193,,21.9599604548,7.0199915057
OR,2020,1,2,18,30218,94,,23.6729310913,7.6995734916
OR,2020,1,2,20,30220,51,,23.7050863276,6.6967134372
OR,2020,1,3,2,30302,113,,22.797658739,7.4360783178
OR,2020,1,3,4,30304,37,,21.6934763181,9.4547181126
OR,2020,1,3,6,30306,84,,23.1841412421,7.4544173356
OR,2020,1,3,8,30308,187,,21.6587721742,8.6546374366
OR,2020,1,3,10,30310,110,,22.2203038674,6.0088252376
OR,2020,1,3,12,30312,79,,21.8563385088,7.7180501348
OR,2020,1,3,14,30314,77,,21.3581746996,5.6764492313
OR,2020,1,3,16,30316,161,,23.3289646134,8.5632603932
OR,2020,1,3,18,30318,177,,21.8617472434,9.2326972229
OR,2020,1,3,20,30320,201,,23.4388366125,7.7407183418
OR,2020,1,4,2,30402,197,,21.4510306277,7.4353871257
OR,2020,1,4,4,30404,49,,22.2903885481,7.3837486815
OR,2020,1,4,6,30406,201,,20.1465569163,7.6228898101
OR,2020,1,4,8,30408,63,,22.7148236905,7.4934931325
OR,2020,1,4,10,30410,44,,21.1262234651,6.046710498
OR,2020,1,4,12,30412,115,,22.7821265492,6.3724633425
OR,2020,1,4,14,30414,112,,21.7451523546,7.5979580277
OR,2020,1,4,16,30416,85,,20.6390105643,5.8113641804
OR,2020,1,4,18,30418,67,,23.7565445026,5.3645850471
OR,2020,1,4,20,30420,182,,20.828378914,6.4840576457
OR,2020,1,5,2,30502,171,,19.1089001838,8.008640962
OR,2020,1,5,4,30504,119,,22.1987594035,6.5187207517
OR,2020,1,5,6,30506,17,,23.6974345411,5.8577328241
OR,2020,1,5,8,30508,202,,22.5379337006,8.6160603773
OR,2020,1,5,10,30510,50,,22.2203893105,5.4306773685
OR,2020,1,5,12,30512,62,,22.5139580504,5.2722862761
OR,2020,1,5,14,30514,122,,21.5239829994,7.0406360364
OR,2020,1,5,16,30516,71,,22.1586669983,8.2714897606
OR,2020,1,5,18,30518,39,,20.1571849603,6.1252557106
OR,2020,1,5,20,30520,38,,23.4787390029,8.4822924864
OR,2020,1,6,2,30602,116,,20.947142724,5.4309472606
OR,2020,1,6,4,30604,156,,21.438797423,7.8525874161
OR,2020,1,6,6,30606,140,,23.5713514097,9.0684155714
OR,2020,1,6,8,30608,109,,20.7751301013,6.2551157798
OR,2020,1,6,10,30610,185,,20.1821347261,7.8395290382
OR,2020,1,6,12,30612,202,,18.8054499366,6.7979805932
OR,2020,1,6,14,30614,87,,22.2745265861,5.8785932667
OR,2020,1,6,16,30616,155,,20.1121233357,6.4105993329
OR,2020,1,6,18,30618,3,,21.955624355,6.9573966068
OR,2020,1,6,20,30620,69,,20.355524573,6.3179379463
OR,2020,1,7,2,30702,165,,19.4474835886,6.3433272998
OR,2020,1,7,4,30704,201,,21.3205800679,8.0439921901
OR,2020,1,7,6,30706,152,,22.1627269165,5.7667060833
OR,2020,1,7,8,30708,151,,21.855078623,6.6818213753
OR,2020,1,7,10,30710,117,,20.908966835,6.3148425276
OR,2020,1,7,12,30712,166,,20.3494998101,3.9333597022
OR,2020,1,7,14,30714,24,,22.5651026729,5.4729869377
OR,2020,1,7,16,30716,168,,17.9517595888,5.4435338232
OR,2020,1,7,18,30718,174,,20.3395953757,5.3301325318
OR,2020,1,7,20,30720,20,,21.739802225,6.6869822892
OR,2020,1,8,2,30802,66,,25.8836944128,6.1095126842
OR,2020,1,8,4,30804,19,,23.1169732732,4.8119995668
OR,2020,1,8,6,30806,118,,22.4797604525,6.2252175544
OR,2020,1,8,8,30808,91,,21.0526315789,7.805952
OR,2020,1,8,10,30810,72,,24.0294977042,7.4359338316
OR,2020,1,8,12,30812,141,,21.867907399,6.0557798783
OR,2020,1,8,14,30814,162,,22.2490098157,7.2571215044
OR,2020,1,8,16,30816,12,,23.0434024752,5.6960636319
OR,2020,1,8,18,30818,202,,20.2462571708,6.9989723733
OR,2020,1,8,20,30820,184,,22.0871040724,6.8553847602
OR,2020,1,9,2,30902,114,,21.7998520163,5.7735774473
OR,2020,1,9,4,30904,164,,18.8311688312,6.3872914286
OR,2020,1,9,6,30906,68,,21.7781222321,8.2166172117
OR,2020,1,9,8,30908,30,,22.2360592224,5.1968
OR,2020,1,9,10,30910,120,,25.3544620517,7.168
OR,2020,1,9,12,30912,86,,22.3398552667,5.6224
OR,2020,1,9,14,30914,8,,19.5154132182,5.8912
OR,2020,1,9,16,30916,201,,22.906817142,7.7056
OR,2020,1,9,18,30918,194,,20.125711575,6.16
OR,2020,1,9,20,30920,73,,23.3500874126,6.7872
OR,2020,1,10,2,31002,157,,21.0591437763,5.9584
OR,2020,1,10,4,31004,6,,21.5227300727,5.824
OR,2020,1,10,6,31006,45,,20.9490261086,6.2496
OR,2020,1,10,8,31008,147,,20.4706077991,7.168
OR,2020,1,10,10,31010,202,,19.0083393764,6.2944
OR,2020,1,10,12,31012,106,,22.2447239395,6.2944
OR,2020,1,10,14,31014,127,,22.1535103674,7.168
OR,2020,1,10,16,31016,103,,24.2762937297,6.6976
OR,2020,1,10,18,31018,7,,19.9359962072,5.8464
OR,2020,1,10,20,31020,175,,20.8051719071,8.6912
OR,2020,1,11,2,31102,11,,19.6592494676,6.4736
OR,2020,1,11,4,31104,5,,22.490954104,6.6752
OR,2020,1,11,6,31106,136,,20.8324934489,7.2576
OR,2020,1,11,8,31108,26,,20.8831646734,5.6672
OR,2020,1,11,10,31110,1,,22.7173264372,5.8016
OR,2020,1,11,12,31112,42,,20.5281198426,5.8912
OR,2020,1,11,14,31114,14,,20.5878094687,6.2496
OR,2020,1,11,16,31116,130,,23.3839309081,7.2128
OR,2020,1,11,18,31118,202,,20.722528851,6.6752
OR,2020,1,11,20,31120,35,,21.4676746611,6.6752
OR,2020,2,1,1,30101,34,24,,3.8133343987
OR,2020,2,1,3,30103,201,21.6,,3.2080716018
OR,2020,2,1,5,30105,10,20.4,,2.8246921472
OR,2020,2,1,7,30107,145,26.4,,3.7954566003
OR,2020,2,1,9,30109,74,15.6,,1.7144808666
OR,2020,2,1,11,30111,176,26.4,,3.8490899955
OR,2020,2,1,13,30113,190,27.6,,3.6417075341
OR,2020,2,1,15,30115,167,27.6,,4.3049738547
OR,2020,2,1,17,30117,46,20.4,,1.7448731238
OR,2020,2,1,19,30119,18,25.2,,3.5219262848
OR,2020,2,2,1,30201,178,26.4,,4.2280993216
OR,2020,2,2,3,30203,173,27.6,,4.7984010906
OR,2020,2,2,5,30205,181,27.6,,3.977810144
OR,2020,2,2,7,30207,153,25.2,,3.3699649984
OR,2020,2,2,9,30209,78,20.4,,2.3384160307
OR,2020,2,2,11,30211,179,25.2,,3.4665051098
OR,2020,2,2,13,30213,59,20.4,,2.0041012006
OR,2020,2,2,15,30215,27,19.2,,2.3115993331
OR,2020,2,2,17,30217,202,26.4,,3.8278352796
OR,2020,2,2,19,30219,99,14.4,,1.777053161
OR,2020,2,3,1,30301,139,24,,3.0267112691
OR,2020,2,3,3,30303,183,27.6,,4.1494370086
OR,2020,2,3,5,30305,189,26.4,,3.967083465
OR,2020,2,3,7,30307,133,20.4,,2.0058889805
OR,2020,2,3,9,30309,202,26.4,,4.1257985863
OR,2020,2,3,11,30311,144,25.2,,3.3769174756
OR,2020,2,3,13,30313,195,25.2,,4.1834048256
OR,2020,2,3,15,30315,54,33.6,,4.4873273984
OR,2020,2,3,17,30317,104,24,,3.1921802254
OR,2020,2,3,19,30319,4,22.8,,3.7257331866
OR,2020,2,4,1,30401,108,25.2,,3.3824794573
OR,2020,2,4,3,30403,100,21.6,,2.7388787149
OR,2020,2,4,5,30405,15,25.2,,3.7811543616
OR,2020,2,4,7,30407,13,19.2,,2.9194444787
OR,2020,2,4,9,30409,191,27.6,,3.8133343987
OR,2020,2,4,11,30411,102,22.8,,2.547586272
OR,2020,2,4,13,30413,202,26.4,,4.3542371214
OR,2020,2,4,15,30415,131,30,,3.922388969
OR,2020,2,4,17,30417,126,20.4,,2.3974127654
OR,2020,2,4,19,30419,47,22.8,,2.592280768
OR,2020,2,5,1,30501,75,14.4,,1.6948152883
OR,2020,2,5,3,30503,154,22.8,,2.9408978368
OR,2020,2,5,5,30505,201,21.6,,2.6737240718
OR,2020,2,5,7,30507,22,21.6,,1.8503521344
OR,2020,2,5,9,30509,82,19.2,,2.90514224
OR,2020,2,5,11,30511,134,20.4,,1.9540433651
OR,2020,2,5,13,30513,29,10.8,,0.7455041933
OR,2020,2,5,15,30515,137,19.2,,2.1185191104
OR,2020,2,5,17,30517,41,25.2,,2.715637577
OR,2020,2,5,19,30519,28,16.8,,1.653696352
OR,2020,2,6,1,30601,201,24,,2.5346745287
OR,2020,2,6,3,30603,60,25.2,,2.9695023142
OR,2020,2,6,5,30605,188,30,,3.5612574413
OR,2020,2,6,7,30607,76,20.4,,2.2740559565
OR,2020,2,6,9,30609,101,22.8,,2.8872644416
OR,2020,2,6,11,30611,146,30,,3.6685242317
OR,2020,2,6,13,30613,129,22.8,,1.9021977498
OR,2020,2,6,15,30615,150,26.4,,3.1464925184
OR,2020,2,6,17,30617,98,25.2,,1.9844356224
OR,2020,2,6,19,30619,88,22.8,,1.8306865562
OR,2020,2,7,1,30701,149,26.4,,2.7138497971
OR,2020,2,7,3,30703,138,25.2,,2.3866860864
OR,2020,2,7,5,30705,31,20.4,,2.1614258266
OR,2020,2,7,7,30707,70,28.8,,3.407508375
OR,2020,2,7,9,30709,142,12,,1.2103269517
OR,2020,2,7,11,30711,111,24,,2.737090935
OR,2020,2,7,13,30713,186,27.6,,2.4260172429
OR,2020,2,7,15,30715,143,25.2,,2.8121776883
OR,2020,2,7,17,30717,132,19.2,,1.8610788134
OR,2020,2,7,19,30719,202,26.4,,3.7682426183
OR,2020,2,8,1,30801,58,12,,1.2872014848
OR,2020,2,8,3,30803,36,19.2,,3.2573348685
OR,2020,2,8,5,30805,169,25.2,,3.9724468045
OR,2020,2,8,7,30807,201,33.6,,3.396781696
OR,2020,2,8,9,30809,105,24,,3.7275209664
OR,2020,2,8,11,30811,158,27.6,,4.8001888704
OR,2020,2,8,13,30813,135,15.6,,2.2812070758
OR,2020,2,8,15,30815,57,20.4,,2.1936058637
OR,2020,2,8,17,30817,56,32.4,,3.0428012877
OR,2020,2,8,19,30819,61,25.2,,1.9864220444
OR,2020,2,9,1,30901,96,19.2,,2.6834575398
OR,2020,2,9,3,30903,64,20.4,,2.2132714419
OR,2020,2,9,5,30905,196,25.2,,3.5147751654
OR,2020,2,9,7,30907,202,24,,3.8357809678
OR,2020,2,9,9,30909,170,20.4,,3.4611417702
OR,2020,2,9,11,30911,16,13.2,,1.6626352512
OR,2020,2,9,13,30913,33,14.4,,1.3837415962
OR,2020,2,9,15,30915,23,18,,2.0988535322
OR,2020,2,9,17,30917,128,21.6,,1.4677672486
OR,2020,2,9,19,30919,52,12,,0.8474076442
OR,2020,2,10,1,31001,148,19.2,,2.3992005453
OR,2020,2,10,3,31003,80,22.8,,2.7317275955
OR,2020,2,10,5,31005,93,21.6,,2.0398567974
OR,2020,2,10,7,31007,83,19.2,,2.715637577
OR,2020,2,10,9,31009,125,14.4,,0.983278912
OR,2020,2,10,11,31011,172,21.6,,3.0714057651
OR,2020,2,10,13,31013,89,18,,1.6000629568
OR,2020,2,10,15,31015,107,21.6,,2.6941842189
OR,2020,2,10,17,31017,201,19.2,,2.2744532409
OR,2020,2,10,19,31019,32,21.6,,2.5708274099
OR,2020,2,11,1,31101,2,22.8,,2.7692709722
OR,2020,2,11,3,31103,201,20.4,,2.3737743431
OR,2020,2,11,5,31105,180,20.4,,1.8378376755
OR,2020,2,11,7,31107,9,15.6,,1.3998316147
OR,2020,2,11,9,31109,53,19.2,,2.8300554867
OR,2020,2,11,11,31111,198,22.8,,3.4665051098
OR,2020,2,11,13,31113,43,19.2,,1.5374906624
OR,2020,2,11,15,31115,163,20.4,,2.6208852454
OR,2020,2,11,17,31117,97,18,,1.7252075456
OR,2020,2,11,19,31119,124,22.8,,1.6930275085
OR,2020,2,1,2,30102,90,22.8,,2.7996632294
OR,2020,2,1,4,30104,55,33.6,,2.8479332851
OR,2020,2,1,6,30106,192,30,,3.5630452211
OR,2020,2,1,8,30108,48,22.8,,2.4599850598
OR,2020,2,1,10,30110,159,28.8,,3.4432639718
OR,2020,2,1,12,30112,95,24,,3.7114309478
OR,2020,2,1,14,30114,81,25.2,,3.5541063219
OR,2020,2,1,16,30116,123,27.6,,3.3485116403
OR,2020,2,1,18,30118,160,34.8,,4.9306967987
OR,2020,2,1,20,30120,202,25.2,,4.7296708878
OR,2020,2,2,2,30202,121,21.6,,2.9230200384
OR,2020,2,2,4,30204,65,30,,3.765064343
OR,2020,2,2,6,30206,25,24,,2.1095802112
OR,2020,2,2,8,30208,40,24,,3.5898619187
OR,2020,2,2,10,30210,201,26.4,,3.2100580238
OR,2020,2,2,12,30212,21,25.2,,3.0767691046
OR,2020,2,2,14,30214,92,31.2,,3.9009356109
OR,2020,2,2,16,30216,193,26.4,,5.0540536077
OR,2020,2,2,18,30218,94,25.2,,3.5451674227
OR,2020,2,2,20,30220,51,25.2,,2.7960876698
OR,2020,2,3,2,30302,113,24,,3.2859393459
OR,2020,2,3,4,30304,37,14.4,,1.8503521344
OR,2020,2,3,6,30306,84,26.4,,3.5398040832
OR,2020,2,3,8,30308,187,30,,4.2406137805
OR,2020,2,3,10,30310,110,28.8,,3.4110839347
OR,2020,2,3,12,30312,79,24,,2.9373222771
OR,2020,2,3,14,30314,77,19.2,,2.4045638848
OR,2020,2,3,16,30316,161,22.8,,3.083920224
OR,2020,2,3,18,30318,177,25.2,,3.5362285235
OR,2020,2,3,20,30320,201,24,,3.1782752711
OR,2020,2,4,2,30402,197,30,,3.79903216
OR,2020,2,4,4,30404,49,20.4,,2.5440107123
OR,2020,2,4,6,30406,201,22.8,,2.8922304967
OR,2020,2,4,8,30408,63,19.2,,2.4939528768
OR,2020,2,4,10,30410,44,25.2,,2.947850314
OR,2020,2,4,12,30412,115,22.8,,2.324113792
OR,2020,2,4,14,30414,112,25.2,,2.1195123214
OR,2020,2,4,16,30416,85,19.2,,2.1042168717
OR,2020,2,4,18,30418,67,26.4,,2.5761907494
OR,2020,2,4,20,30420,182,22.8,,3.273424887
OR,2020,2,5,2,30502,171,27.6,,3.664948672
OR,2020,2,5,4,30504,119,25.2,,2.9265955981
OR,2020,2,5,6,30506,17,22.8,,2.5314962534
OR,2020,2,5,8,30508,202,27.6,,3.6371387634
OR,2020,2,5,10,30510,50,22.8,,2.2132714419
OR,2020,2,5,12,30512,62,26.4,,3.2680615475
OR,2020,2,5,14,30514,122,28.8,,3.3359971814
OR,2020,2,5,16,30516,71,22.8,,2.9516245158
OR,2020,2,5,18,30518,39,18,,1.8163843174
OR,2020,2,5,20,30520,38,24,,3.4235983936
OR,2020,2,6,2,30602,116,22.8,,2.4671361792
OR,2020,2,6,4,30604,156,31.2,,3.6864020301
OR,2020,2,6,6,30606,140,27.6,,3.1321902797
OR,2020,2,6,8,30608,109,22.8,,2.5297084736
OR,2020,2,6,10,30610,185,27.6,,3.7614887834
OR,2020,2,6,12,30612,202,30,,4.0642195029
OR,2020,2,6,14,30614,87,27.6,,2.9802289933
OR,2020,2,6,16,30616,155,30,,3.3163316032
OR,2020,2,6,18,30618,3,30,,3.5666207808
OR,2020,2,6,20,30620,69,31.2,,3.8276366374
OR,2020,2,7,2,30702,165,27.6,,3.943842327
OR,2020,2,7,4,30704,201,24,,2.7174253568
OR,2020,2,7,6,30706,152,21.6,,1.4051949542
OR,2020,2,7,8,30708,151,24,,3.0177723699
OR,2020,2,7,10,30710,117,22.8,,2.7031231181
OR,2020,2,7,12,30712,166,26.4,,2.9730778739
OR,2020,2,7,14,30714,24,20.4,,2.2597537178
OR,2020,2,7,16,30716,168,26.4,,2.8354188262
OR,2020,2,7,18,30718,174,27.6,,3.520138505
OR,2020,2,7,20,30720,20,26.4,,2.6065830067
OR,2020,2,8,2,30802,66,21.6,,2.9677145344
OR,2020,2,8,4,30804,19,20.4,,2.1918180838
OR,2020,2,8,6,30806,118,22.8,,2.5779785293
OR,2020,2,8,8,30808,91,27.6,,4.0797135949
OR,2020,2,8,10,30810,72,28.8,,3.1464925184
OR,2020,2,8,12,30812,141,32.4,,3.8616044544
OR,2020,2,8,14,30814,162,27.6,,3.3485116403
OR,2020,2,8,16,30816,12,12,,1.0601534451
OR,2020,2,8,18,30818,202,28.8,,3.573573258
OR,2020,2,8,20,30820,184,27.6,,3.1858236749
OR,2020,2,9,2,30902,114,24,,2.5744029696
OR,2020,2,9,4,30904,164,24,,3.620254176
OR,2020,2,9,6,30906,68,21.6,,2.2758437363
OR,2020,2,9,8,30908,30,22.8,,1.9433166861
OR,2020,2,9,10,30910,120,24,,2.3509304896
OR,2020,2,9,12,30912,86,30,,1.4373749914
OR,2020,2,9,14,30914,8,13.2,,0.983278912
OR,2020,2,9,16,30916,201,22.8,,2.3757607652
OR,2020,2,9,18,30918,194,24,,2.7227886963
OR,2020,2,9,20,30920,73,26.4,,2.5887052083
OR,2020,2,10,2,31002,157,22.8,,2.6137341261
OR,2020,2,10,4,31004,6,30,,2.5833418688
OR,2020,2,10,6,31006,45,20.4,,1.8342621158
OR,2020,2,10,8,31008,147,24,,2.7656954125
OR,2020,2,10,10,31010,202,21.6,,2.1949963591
OR,2020,2,10,12,31012,106,26.4,,3.039225728
OR,2020,2,10,14,31014,127,31.2,,2.0952779725
OR,2020,2,10,16,31016,103,22.8,,2.4671361792
OR,2020,2,10,18,31018,7,18,,0.8331054054
OR,2020,2,10,20,31020,175,21.6,,3.0678302054
OR,2020,2,11,2,31102,11,18,,1.4391627712
OR,2020,2,11,4,31104,5,28.8,,2.4868017574
OR,2020,2,11,6,31106,136,12,,0.8438320845
OR,2020,2,11,8,31108,26,21.6,,1.7109053069
OR,2020,2,11,10,31110,1,21.6,,1.485645047
OR,2020,2,11,12,31112,42,9.6,,0.8438320845
OR,2020,2,11,14,31114,14,24,,1.6483330125
OR,2020,2,11,16,31116,130,19.2,,1.1852980339
OR,2020,2,11,18,31118,202,25.2,,2.9637416903
OR,2020,2,11,20,31120,35,20.4,,2.1292457894
OR,2020,3,1,1,30101,34,31.2,,4.1502241088
OR,2020,3,1,3,30103,201,24,,3.6113321415
OR,2020,3,1,5,30105,10,28.8,,3.6370348045
OR,2020,3,1,7,30107,145,27.6,,4.2590824461
OR,2020,3,1,9,30109,74,18,,3.4193181299
OR,2020,3,1,11,30111,176,22.8,,4.4009870643
OR,2020,3,1,13,30113,190,27.6,,4.0141511872
OR,2020,3,1,15,30115,167,27.6,,4.6109281434
OR,2020,3,1,17,30117,46,27.6,,3.2696379162
OR,2020,3,1,19,30119,18,28.8,,3.5106813773
OR,2020,3,2,1,30201,178,28.8,,4.115233929
OR,2020,3,2,3,30203,173,26.4,,4.6731329075
OR,2020,3,2,5,30205,181,28.8,,3.6759127821
OR,2020,3,2,7,30207,153,27.6,,3.596212928
OR,2020,3,2,9,30209,78,25.2,,2.219932521
OR,2020,3,2,11,30211,179,24,,3.8780782656
OR,2020,3,2,13,30213,59,30,,3.256030624
OR,2020,3,2,15,30215,27,24,,3.1879941632
OR,2020,3,2,17,30217,202,21.6,,3.7798033778
OR,2020,3,2,19,30219,99,20.4,,3.417374231
OR,2020,3,3,1,30301,139,19.2,,3.693407872
OR,2020,3,3,3,30303,183,31.2,,4.0569169626
OR,2020,3,3,5,30305,189,30,,3.9072367488
OR,2020,3,3,7,30307,133,24,,2.9197361178
OR,2020,3,3,9,30309,202,27.6,,4.2808973113
OR,2020,3,3,11,30311,144,26.4,,3.7531133376
OR,2020,3,3,13,30313,195,28.8,,3.9480586253
