Location,Year,Cut,Block,Position,ID,Treatment,MSC,DM_Pct,Height_inch,Yield_MgHa,FallDormancy_cm
WA,2020,1,3,14,10314,12,3.8,18.3553971487,20.4,4.76,
WA,2020,1,3,15,10315,197,3.3,18.3778801843,28.2,6.44,
WA,2020,1,3,16,10316,185,3.2,18.4980806142,25.3,8.52,
WA,2020,1,3,17,10317,26,3.6,20.1073039873,26.8,5.61,
WA,2020,1,3,18,10318,182,3.8,19.6666235948,28.1,8.27,
WA,2020,1,3,19,10319,33,3.5,16.8568273831,24,5.59,
WA,2020,1,3,20,10320,36,3.2,16.316858497,25.3,6.38,
WA,2020,1,4,1,10401,149,3.6,17.1968649147,26.6,5.57,
WA,2020,1,4,2,10402,115,3.7,17.6634861531,21.9,4.81,
WA,2020,1,4,3,10403,136,3.2,17.0718232044,22.7,4.8,
WA,2020,1,4,4,10404,22,3.6,19.3462750954,22.6,6.14,
WA,2020,1,4,5,10405,53,4,20.1007494778,24.5,7.06,
WA,2020,1,4,6,10406,165,3.3,18.0121618788,26.3,8.59,
WA,2020,1,4,7,10407,202,3.4,18.2252976493,26.8,7.9,
WA,2020,1,4,8,10408,56,3.7,19.0101954121,23.8,4.1,
WA,2020,1,4,9,10409,73,3.6,20.1004324174,26.6,5.24,
WA,2020,1,4,10,10410,131,3.4,20.0411099692,27.8,5.93,
WA,2020,1,4,11,10411,89,3.1,19.6197327852,27.6,5.82,
WA,2020,1,4,12,10412,94,3.2,18.4454756381,28.1,6.61,
WA,2020,1,4,13,10413,201,3.5,18.2918988427,27.7,6.1,
WA,2020,1,4,14,10414,190,3.7,18.1680545042,28.4,7.82,
WA,2020,1,4,15,10415,68,3.7,17.6078257003,24.6,6.6,
WA,2020,1,4,16,10416,196,3.8,17.1519563239,28.6,7.67,
WA,2020,1,4,17,10417,100,3.2,18.0233750256,22.9,3.87,
WA,2020,1,4,18,10418,120,4.1,18.1850282486,23.8,4.77,
WA,2020,1,4,19,10419,61,4.2,18.1718061674,26.7,5.51,
WA,2020,1,4,20,10420,179,3.8,18.6451408674,26.1,7.46,
WA,2020,1,5,1,10501,124,3.7,18.7884524373,19.2,3.35,
WA,2020,1,5,2,10502,174,3.9090909091,17.0135964385,28.2,9.31,
WA,2020,1,5,3,10503,128,4.1,19.1009385806,25.7,6.17,
WA,2020,1,5,4,10504,103,3.8,19.099670898,28.2,8.74,
WA,2020,1,5,5,10505,181,3.5,19.3130496791,26,7.42,
WA,2020,1,5,6,10506,108,3.5,18.3101015316,26,6.68,
WA,2020,1,5,7,10507,14,3.2,19.7268588771,24.1,6.72,
WA,2020,1,5,8,10508,201,3.4,19.1573033708,27.4,8.06,
WA,2020,1,5,9,10509,127,3.8,16.9455226877,26.1,4.99,
WA,2020,1,5,10,10510,17,3.5,20.0988205292,21.7,5.14,
WA,2020,1,5,11,10511,172,3.5,17.6593997993,27.9,7.55,
WA,2020,1,5,12,10512,23,3.5,17.4677812609,26.3,7.79,
WA,2020,1,5,13,10513,99,4,17.6096417811,26.1,6.98,
WA,2020,1,5,14,10514,202,3.9,18.6036789298,24.9,8.4,
WA,2020,1,5,15,10515,67,3.9,18.7979539642,23.6,5.15,
WA,2020,1,5,16,10516,138,3.8,17.2636523782,24.8,6,
WA,2020,1,5,17,10517,130,3.7,18.6004784689,21.5,3.45,
WA,2020,1,5,18,10518,87,3.5,20.2340892465,23.1,5.67,
WA,2020,1,5,19,10519,161,3.5,18.3671232877,24.6,7.8,
WA,2020,1,5,20,10520,106,3.7,19.2101740295,27.1,7.82,
WA,2020,1,6,1,10601,188,3.6,19.2134197914,27.2,6.37,
WA,2020,1,6,2,10602,151,3.6,18.75696767,25.9,7.65,
WA,2020,1,6,3,10603,19,3.6,17.7262693157,25.9,6.78,
WA,2020,1,6,4,10604,202,3.6,19.6200345423,27.5,9.32,
WA,2020,1,6,5,10605,154,3.5,18.4032059186,27.8,6.34,
WA,2020,1,6,6,10606,5,3.2,19.2855998719,28.8,5.78,
WA,2020,1,6,7,10607,80,3.5,18.3378500452,25.9,5.99,
WA,2020,1,6,8,10608,176,3.9,18.0686445608,24.3,7.81,
WA,2020,1,6,9,10609,183,3.8,19.2860948322,26.1,5.91,
WA,2020,1,6,10,10610,117,3.4,19.2979669632,23.1,6.35,
WA,2020,1,6,11,10611,118,3.3,18.2842287695,25.4,5.74,
WA,2020,1,6,12,10612,79,3.6,17.2458845048,27.1,6.68,
WA,2020,1,6,13,10613,201,4.1,17.7987300366,27.2,5.45,
WA,2020,1,6,14,10614,46,4.5,16.6112956811,23.8,6.39,
WA,2020,1,6,15,10615,113,3.4,17.9867256637,24.7,6.7,
WA,2020,1,6,16,10616,25,3.4,18.4683813576,20.5,4.9,
WA,2020,1,6,17,10617,71,3.5,20.0237953599,24.6,7.09,
WA,2020,1,6,18,10618,41,4.4,18.3445846786,21.4,4.51,
WA,2020,1,6,19,10619,95,3.8,18.1679721497,25.1,6.2,
WA,2020,1,6,20,10620,171,3.7,17.6321547852,26.2,8.19,
WA,2020,1,7,1,10701,38,3.6,17.402245451,23.5,4.23,
WA,2020,1,7,2,10702,202,3.5,17.9312359988,25.3,8.15,
WA,2020,1,7,3,10703,150,3.8,16.6131819304,26,7.38,
WA,2020,1,7,4,10704,143,3.9,17.1991020549,24,6.41,
WA,2020,1,7,5,10705,72,3.7,17.8960872354,24.4,5.1,
WA,2020,1,7,6,10706,11,4.2,18.6976144423,23.4,4.14,
WA,2020,1,7,7,10707,135,4,16.3461538462,21.3,3.72,
WA,2020,1,7,8,10708,54,3.7,20.2202361953,29.6,6.33,
WA,2020,1,7,9,10709,27,3.5,18.3644859813,22.4,4.57,
WA,2020,1,7,10,10710,45,3.5,18.8737351518,21.2,3.78,
WA,2020,1,7,11,10711,64,4.2,18.9798339265,22.4,3.93,
WA,2020,1,7,12,10712,163,4,18.6357602369,29.8,7.47,
WA,2020,1,7,13,10713,8,3.2,17.413236481,19.7,3.16,
WA,2020,1,7,14,10714,51,3.9,19.7460159363,24,5.22,
WA,2020,1,7,15,10715,201,3.7,19.3330968429,27.2,8.17,
WA,2020,1,7,16,10716,192,3.9,18.3833776764,31.4,7.91,
WA,2020,1,7,17,10717,18,3.0909090909,19.576185671,21.1,3.04,
WA,2020,1,7,18,10718,129,3.2,19.7967879384,18.8,3.3,
WA,2020,1,7,19,10719,74,3.3,16.213592233,22.4,3.84,
WA,2020,1,7,20,10720,70,3.3,20.1169144745,27.1,6.42,
WA,2020,1,8,1,10801,170,3.5,18.2218458933,26.4,5.99,
WA,2020,1,8,2,10802,112,3.8,17.5121612231,21.9,4.61,
WA,2020,1,8,3,10803,93,3.7,17.9555704025,30,6.06,
WA,2020,1,8,4,10804,98,3.8,18.7744190829,25,5.44,
WA,2020,1,8,5,10805,44,3.7,17.7203290247,20.7,3.2,
WA,2020,1,8,6,10806,180,3.9,20.5439056356,24.4,6.13,
WA,2020,1,8,7,10807,137,3.6,17.8939034046,23.9,4.59,
WA,2020,1,8,8,10808,193,3.6,18.5185185185,30.5,8.29,
WA,2020,1,8,9,10809,10,2.9,18.2526115859,22.9,4.54,
WA,2020,1,8,10,10810,169,2.9,18.0181399756,23.9,6.77,
WA,2020,1,8,11,10811,141,3.1,17.6998153521,27.4,4.94,
WA,2020,1,8,12,10812,58,3.5,20.0605929452,24.2,5.01,
WA,2020,1,8,13,10813,75,2.8,14.989626556,26.4,1.89,
WA,2020,1,8,14,10814,28,3.2,17.8802165182,21.1,4.38,
WA,2020,1,8,15,10815,47,4.2,20.2603471295,24.8,4.74,
WA,2020,1,8,16,10816,201,3.8,19.3402620877,14.9,7.34,
WA,2020,1,8,17,10817,202,3.1,19.3579234973,25.5,5.72,
WA,2020,1,8,18,10818,48,3.3,21.1618257261,19.4,3.08,
WA,2020,1,8,19,10819,42,3.8,17.8319077724,24.9,5.74,
WA,2020,1,8,20,10820,194,3.7,18.3130434783,30.2,7.11,
WA,2020,1,9,1,10901,97,3.5,17.4301978856,21.9,3.55,
WA,2020,1,9,2,10902,31,3.4,20.5534990305,19.8,3.93,
WA,2020,1,9,3,10903,63,2.8,19.7721425946,22.3,6.46,
WA,2020,1,9,4,10904,110,3.3,20.5800334635,25.9,8.9,
WA,2020,1,9,5,10905,184,3.8,19.4759338413,25.9,6.25,
WA,2020,1,9,6,10906,16,3.7,19.0655209452,21.3,4.93,
WA,2020,1,9,7,10907,201,3,19.7697931249,24.7,6.23,
WA,2020,1,9,8,10908,55,4.1,21.3152715063,27.4,5.87,
WA,2020,1,9,9,10909,4,3,19.4078947368,22.3,4.15,
WA,2020,1,9,10,10910,202,3.2,18.8776416267,26.2,7.55,
WA,2020,1,9,11,10911,102,3.6,19.3938173396,27.1,6.57,
WA,2020,1,9,12,10912,7,4,19.28721174,26.5,5.63,
WA,2020,1,9,13,10913,132,3.2,16.9381107492,21.8,3.62,
WA,2020,1,9,14,10914,122,2.8,19.940652819,23.9,6.34,
WA,2020,1,9,15,10915,173,2.7,17.4040338321,25.4,7.06,
WA,2020,1,9,16,10916,155,3.6,20.2672378621,29.5,7.85,
WA,2020,1,9,17,10917,86,3.7,19.3111569031,20.8,4.07,
WA,2020,1,9,18,10918,20,3,21.1218568665,22.8,5.38,
WA,2020,1,9,19,10919,175,3.4,18.2567100718,25.5,7.73,
WA,2020,1,9,20,10920,187,3.5,20.4762834277,28.9,8.49,
WA,2020,1,10,1,11001,49,3.4,18.2368612255,24.2,5.18,
WA,2020,1,10,2,11002,92,2.9,21.041733036,29,6.53,
WA,2020,1,10,3,11003,198,2.9,19.0510684535,25.3,6.47,
WA,2020,1,10,4,11004,96,3.3,18.5634634306,27.4,6.43,
WA,2020,1,10,5,11005,57,3.2,19.2999357739,22.5,5.08,
WA,2020,1,10,6,11006,1,3.7,20.2306583373,22.9,4.97,
WA,2020,1,10,7,11007,166,2.9,20.0174825175,25,5.8,
WA,2020,1,10,8,11008,101,2.9,19.8505460816,24.8,7.32,
WA,2020,1,10,9,11009,178,3.5,17.3838209983,29,7.14,
WA,2020,1,10,10,11010,21,3.1,19.2223439211,19,4.3,
WA,2020,1,10,11,11011,88,2.7,20.3436947182,19.4,4.19,
WA,2020,1,10,12,11012,142,2.8,18.8106581966,19.4,5.84,
WA,2020,1,10,13,11013,85,3.2,18.0224719101,26.1,5.33,
WA,2020,1,10,14,11014,15,2.6,18.3743169399,21.8,5.16,
WA,2020,1,10,15,11015,148,3.4,19.1615778181,25.2,6.88,
WA,2020,1,10,16,11016,202,3.5,21.0384521185,27.9,8.23,
WA,2020,1,10,17,11017,59,3.9,18.5166240409,19.2,4.32,
WA,2020,1,10,18,11018,105,3.3,19.6225879682,23.4,7.03,
WA,2020,1,10,19,11019,201,3.1,18.8163129973,25.4,6.13,
WA,2020,1,10,20,11020,153,3.2,20.0076952674,24.9,7.57,
WA,2020,1,11,1,11101,167,3.4,19.4222977389,28.2,7.13,
WA,2020,1,11,2,11102,202,3.2,20.2106810387,25.5,7.69,
WA,2020,1,11,3,11103,134,3.5,19.2679558011,25.5,6.94,
WA,2020,1,11,4,11104,152,3,18.3664259928,19.6,4.71,
WA,2020,1,11,5,11105,2,3.4,19.9346405229,25.9,6.19,
WA,2020,1,11,6,11106,109,3.2,20.2317880795,23.4,6.87,
WA,2020,1,11,7,11107,83,3.5,21.6623168039,21.7,6.02,
WA,2020,1,11,8,11108,39,3,19.6291817815,21.5,5.09,
WA,2020,1,11,9,11109,9,3.4,18.1893412777,24.6,6.58,
WA,2020,1,11,10,11110,147,3.2,18.9773213522,25.8,6.81,
WA,2020,1,11,11,11111,168,3.1,19.1293869559,25.1,6.12,
WA,2020,1,11,12,11112,160,3.2,21.131990548,29.6,8.87,
WA,2020,1,11,13,11113,60,3.3,19.918699187,27.6,6.69,
WA,2020,1,11,14,11114,157,3.3,19.6122692869,29.3,6.79,
WA,2020,1,11,15,11115,62,3.4,21.0546648638,25.5,6.37,
WA,2020,1,11,16,11116,81,3.4,19.2022667829,22.3,6.9,
WA,2020,1,11,17,11117,201,2.9,18.9594900267,26.7,6.35,
WA,2020,1,11,18,11118,65,3.5,20.262474762,24.9,6.39,
WA,2020,1,11,19,11119,30,3.1,17.4706120794,24,5.15,
WA,2020,1,11,20,11120,144,3.3,18.6726659168,22.9,6.94,
WA,2020,2,1,1,10101,123,2.6,,15.7,3.93,
WA,2020,2,1,2,10102,29,2.6,,13.6,2.11,
WA,2020,2,1,3,10103,162,3.3,,21.1,4.6,
WA,2020,2,1,4,10104,201,3.1,,17.8,3.58,
WA,2020,2,1,5,10105,126,2.4,,13.8,1.86,
WA,2020,2,1,6,10106,191,3.3,,21.8,3.55,
WA,2020,2,1,7,10107,159,3.1,,22.8,4.79,
WA,2020,2,1,8,10108,139,2.2,,14.3,2.97,
WA,2020,2,1,9,10109,77,2.2,,13.8,1.97,
WA,2020,2,1,10,10110,69,3.1,,22.5,4.28,
WA,2020,2,1,11,10111,121,2.9,,21.5,3.85,
WA,2020,2,1,12,10112,84,2.8,,17.2,3.95,
WA,2020,2,1,13,10113,133,2.5,,13.7,1.65,
WA,2020,2,1,14,10114,125,2.3,,15.2,1.9,
WA,2020,2,1,15,10115,202,2.4,,14.7,3.36,
WA,2020,2,1,16,10116,32,2.7,,18.2,3.3,
WA,2020,2,1,17,10117,37,2.8,,15,1.38,
WA,2020,2,1,18,10118,13,2.2,,15.5,2.51,
WA,2020,2,1,19,10119,116,2.2,,14.5,3.07,
WA,2020,2,1,20,10120,164,3.2,,17.6,4.83,
WA,2020,2,2,1,10201,35,3.4,,22.2,2.76,
WA,2020,2,2,2,10202,146,3.3,,23.3,5.5,
WA,2020,2,2,3,10203,43,2.5,,14.7,2.43,
WA,2020,2,2,4,10204,24,2.5,,14.3,2.65,
WA,2020,2,2,5,10205,202,2.8,,19.4,2.76,
WA,2020,2,2,6,10206,104,2.6,,17.2,3.72,
WA,2020,2,2,7,10207,76,2.4,,14.2,3.43,
WA,2020,2,2,8,10208,107,3.2,,20.9,5.2,
WA,2020,2,2,9,10209,158,3.1,,20.7,5.27,
WA,2020,2,2,10,10210,195,2.7,,20.3,4.56,
WA,2020,2,2,11,10211,78,2.9,,19.7,3.2,
WA,2020,2,2,12,10212,3,3.2,,22.1,4.22,
WA,2020,2,2,13,10213,82,2.7,,19.6,2.72,
WA,2020,2,2,14,10214,201,2.9,,18,3.32,
WA,2020,2,2,15,10215,34,3,,22.3,6.29,
WA,2020,2,2,16,10216,156,3.4,,23.6,4.6,
WA,2020,2,2,17,10217,6,3.2,,20.9,3.39,
WA,2020,2,2,18,10218,52,2.1,,12.6,1.67,
WA,2020,2,2,19,10219,90,2.3,,13.1,2.2,
WA,2020,2,2,20,10220,140,2.6,,17.3,3.7,
WA,2020,2,3,1,10301,91,3.1,,21.2,5.46,
WA,2020,2,3,2,10302,201,3.2,,19,3.62,
WA,2020,2,3,3,10303,40,2.6,,14.7,3.2,
WA,2020,2,3,4,10304,177,2.9,,18.7,4.43,
WA,2020,2,3,5,10305,119,2.7,,15.3,1.8,
WA,2020,2,3,6,10306,189,3.2,,21.2,4.75,
WA,2020,2,3,7,10307,145,3,,18.5,3.68,
WA,2020,2,3,8,10308,186,2.9,,18.5,3.01,
WA,2020,2,3,9,10309,114,2.8,,16.4,2.3,
WA,2020,2,3,10,10310,50,2.7,,16.7,2.26,
WA,2020,2,3,11,10311,111,2.7,,19.4,3.35,
WA,2020,2,3,12,10312,202,2.9,,17.5,3.76,
WA,2020,2,3,13,10313,66,2.8,,20,2.49,
WA,2020,2,3,14,10314,12,1.5,,11.2,1.15,
WA,2020,2,3,15,10315,197,3.6,,21.7,4.16,
WA,2020,2,3,16,10316,185,3.4,,21.7,5.16,
WA,2020,2,3,17,10317,26,2.8,,17.8,2.24,
WA,2020,2,3,18,10318,182,2.8,,18.4,3.95,
WA,2020,2,3,19,10319,33,2.7,,16.8,3.99,
WA,2020,2,3,20,10320,36,2.9,,18.2,2.11,
WA,2020,2,4,1,10401,149,2.7,,18.4,2.89,
WA,2020,2,4,2,10402,115,2.6,,13.4,2.2,
WA,2020,2,4,3,10403,136,2.1,,12.8,1.53,
WA,2020,2,4,4,10404,22,2.6,,14.8,2.63,
WA,2020,2,4,5,10405,53,2.7,,18.8,3.35,
WA,2020,2,4,6,10406,165,3.1,,19.8,5.29,
WA,2020,2,4,7,10407,202,3,,19.9,4.57,
WA,2020,2,4,8,10408,56,3.1,,22.6,2.82,
WA,2020,2,4,9,10409,73,3.4,,20.1,3.6,
WA,2020,2,4,10,10410,131,3.1,,21.6,3.51,
WA,2020,2,4,11,10411,89,3.1,,22.1,3.58,
WA,2020,2,4,12,10412,94,3.1,,23,5.12,
WA,2020,2,4,13,10413,201,2.7,,14.9,2.66,
WA,2020,2,4,14,10414,190,3,,19.8,4.24,
WA,2020,2,4,15,10415,68,2.7,,14.5,3.34,
WA,2020,2,4,16,10416,196,3.2,,23.6,5.2,
WA,2020,2,4,17,10417,100,2.3,,13.1,1.19,
WA,2020,2,4,18,10418,120,2.8,,17.3,2.03,
WA,2020,2,4,19,10419,61,3,,19.2,2.76,
WA,2020,2,4,20,10420,179,3.2,,21.9,4.47,
WA,2020,2,5,1,10501,124,2.6,,15.6,1.74,
WA,2020,2,5,2,10502,174,3.1,,17.7,5.1,
WA,2020,2,5,3,10503,128,3.2,,18.5,2.57,
WA,2020,2,5,4,10504,103,3.4,,22.8,4.91,
WA,2020,2,5,5,10505,181,3.3,,22.8,4.93,
WA,2020,2,5,6,10506,108,3,,17.5,2.78,
WA,2020,2,5,7,10507,14,2.7,,16.6,3.03,
WA,2020,2,5,8,10508,201,3.2,,20,4.15,
WA,2020,2,5,9,10509,127,2.8,,16.6,2.19,
WA,2020,2,5,10,10510,17,2.5,,13.7,1.63,
WA,2020,2,5,11,10511,172,3.2,,19.7,4.49,
WA,2020,2,5,12,10512,23,3.1,,20.3,4.12,
WA,2020,2,5,13,10513,99,3.3,,18.8,3.62,
WA,2020,2,5,14,10514,202,2.9,,19.1,4.39,
WA,2020,2,5,15,10515,67,3.4,,20.1,2.93,
WA,2020,2,5,16,10516,138,2.7,,14.4,2.88,
WA,2020,2,5,17,10517,130,2.9,,16.1,1.09,
WA,2020,2,5,18,10518,87,3.4,,18.8,2.42,
WA,2020,2,5,19,10519,161,3,,19.3,3.82,
WA,2020,2,5,20,10520,106,2.9,,18.9,4.22,
WA,2020,2,6,1,10601,188,3.3,,22.3,4.14,
WA,2020,2,6,2,10602,151,3.1818181818,,19,3.74,
WA,2020,2,6,3,10603,19,3.3,,19.4,3.7,
WA,2020,2,6,4,10604,202,3.4,,21.6,4.31,
WA,2020,2,6,5,10605,154,2.7,,16.9,2.53,
WA,2020,2,6,6,10606,5,3.2,,22.4,3.55,
WA,2020,2,6,7,10607,80,3.1,,21.3,3.78,
WA,2020,2,6,8,10608,176,3.5,,22.5,4.75,
WA,2020,2,6,9,10609,183,3.5,,20.7,3.32,
WA,2020,2,6,10,10610,117,2.5,,15.1,2.34,
WA,2020,2,6,11,10611,118,2.7,,17.5,2.99,
WA,2020,2,6,12,10612,79,2.6,,15.3,2.47,
WA,2020,2,6,13,10613,201,2.8,,16.3,1.99,
WA,2020,2,6,14,10614,46,2.4,,13.6,0.94,
WA,2020,2,6,15,10615,113,2.7,,15,2.86,
WA,2020,2,6,16,10616,25,3.1,,19.7,3.72,
WA,2020,2,6,17,10617,71,2.7,,13.3,1.9,
WA,2020,2,6,18,10618,41,2.7,,16.9,1.76,
WA,2020,2,6,19,10619,95,3,,19.9,3.05,
WA,2020,2,6,20,10620,171,3.2,,21.3,4.97,
WA,2020,2,7,1,10701,38,2.8,,13.9,1.67,
WA,2020,2,7,2,10702,202,2.5,,17.9,4.19,
WA,2020,2,7,3,10703,150,3,,17.9,4.03,
WA,2020,2,7,4,10704,143,3,,18.3,3.45,
WA,2020,2,7,5,10705,72,2.2,,13.9,1.94,
WA,2020,2,7,6,10706,11,2.4,,13.4,1.5,
WA,2020,2,7,7,10707,135,2.8,,14.3,1.65,
WA,2020,2,7,8,10708,54,2.8,,20.6,5.02,
WA,2020,2,7,9,10709,27,2.1,,12.5,1.13,
WA,2020,2,7,10,10710,45,2.4,,14.7,1.55,
WA,2020,2,7,11,10711,64,3,,15.7,1.48,
WA,2020,2,7,12,10712,163,2.7,,17,3.91,
WA,2020,2,7,13,10713,8,1,,8.4,0.59,
WA,2020,2,7,14,10714,51,2.3,,13.9,1.71,
WA,2020,2,7,15,10715,201,2.4,,15.5,3.04,
WA,2020,2,7,16,10716,192,2.9,,19.3,5.29,
WA,2020,2,7,17,10717,18,2.4,,14.1,1.38,
WA,2020,2,7,18,10718,129,2.4,,14.7,1,
WA,2020,2,7,19,10719,74,2,,12,1.07,
WA,2020,2,7,20,10720,70,3,,19.6,4.45,
WA,2020,2,8,1,10801,170,3.1,,17.9,3.47,
WA,2020,2,8,2,10802,112,2.5,,14.4,1.39,
WA,2020,2,8,3,10803,93,3,,15.9,2.7,
WA,2020,2,8,4,10804,98,2.7,,18.1,2.97,
WA,2020,2,8,5,10805,44,3,,14.7,1.51,
WA,2020,2,8,6,10806,180,2.9,,16.7,2.43,
WA,2020,2,8,7,10807,137,3,,15.1,1.53,
WA,2020,2,8,8,10808,193,3.1,,21.4,5.79,
WA,2020,2,8,9,10809,10,2.9,,15.1,1.57,
WA,2020,2,8,10,10810,169,3.2,,17.8,4.05,
WA,2020,2,8,11,10811,141,3.2,,19.4,3.35,
WA,2020,2,8,12,10812,58,3.3,,14.3,1.86,
WA,2020,2,8,13,10813,75,1,,8.7,0.61,
WA,2020,2,8,14,10814,28,2.1,,13.1,0.77,
WA,2020,2,8,15,10815,47,3.1,,15.2,1.86,
WA,2020,2,8,16,10816,201,2.9,,15.5,3.68,
WA,2020,2,8,17,10817,202,3.3,,15.8,3.02,
WA,2020,2,8,18,10818,48,2.8,,13,0.84,
WA,2020,2,8,19,10819,42,2.4,,12.8,1.19,
WA,2020,2,8,20,10820,194,3.1,,17.5,4.35,
WA,2020,2,9,1,10901,97,2.6,,15,0.77,
WA,2020,2,9,2,10902,31,3,,15.2,0.96,
WA,2020,2,9,3,10903,63,2.2,,12.6,1.38,
WA,2020,2,9,4,10904,110,3.1,,19.1,4.6,
WA,2020,2,9,5,10905,184,2.9,,17.7,2.72,
WA,2020,2,9,6,10906,16,2.3,,13.4,1.13,
WA,2020,2,9,7,10907,201,2.4,,14.7,2.15,
WA,2020,2,9,8,10908,55,3.2,,20.6,3.89,
WA,2020,2,9,9,10909,4,2.1,,12.7,1.05,
WA,2020,2,9,10,10910,202,3,,17,3.32,
WA,2020,2,9,11,10911,102,2.6,,16.3,3.26,
WA,2020,2,9,12,10912,7,3.1,,18.4,2.32,
WA,2020,2,9,13,10913,132,2.5,,13.2,1.32,
WA,2020,2,9,14,10914,122,2.6,,15.6,2.34,
WA,2020,2,9,15,10915,173,2.8,,16.9,4.12,
WA,2020,2,9,16,10916,155,3,,19.7,4.95,
WA,2020,2,9,17,10917,86,2.8,,14.9,1.84,
WA,2020,2,9,18,10918,20,2.3,,14.4,1.69,
WA,2020,2,9,19,10919,175,3,,16,4.12,
WA,2020,2,9,20,10920,187,2.9,,18.3,4.74,
WA,2020,2,10,1,11001,49,3.5,,15.7,2.32,
WA,2020,2,10,2,11002,92,2.7,,20.9,3.37,
WA,2020,2,10,3,11003,198,3.3,,18.8,4.14,
WA,2020,2,10,4,11004,96,2.4,,16,2.26,
WA,2020,2,10,5,11005,57,2.3,,15.7,1.67,
WA,2020,2,10,6,11006,1,3.4,,19.6,2.63,
WA,2020,2,10,7,11007,166,2.9,,17.4,3.64,
WA,2020,2,10,8,11008,101,3.2,,18.8,3.01,
WA,2020,2,10,9,11009,178,3.3,,19.2,5.35,
