Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
WA,1,3,10103,162,1,2,2018,1,3.8,20.48,21,4.84,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,3,10103,162,1,2,2018,2,NA,NA,NA,4.84,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,3,10103,162,1,2,2018,3,NA,NA,24,3.71,21,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,3,10103,162,1,2,2019,1,2.8,18.1,29.5,6.57,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,3,10103,162,1,2,2019,2,2.6,NA,15.8,3.37,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,3,10103,162,1,2,2019,3,NA,NA,18.5,3.4,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,3,10103,162,1,2,2019,4,NA,NA,19.1,3.21,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,3,10103,162,1,2,2019,5,NA,NA,20.8,3.05,15.2,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,4,10104,201,1,1,2018,1,5.2,20.98,24,5.22,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,4,10104,201,1,1,2018,2,3.3,19.51,23,4.4,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,4,10104,201,1,1,2018,3,2.1,21.3,22,3.9,10,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,4,10104,201,1,1,2019,1,2.9,18.86,24.5,5.98,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,4,10104,201,1,1,2019,2,2.3,19.21,15.3,3.2,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,4,10104,201,1,1,2019,3,2.4,19.78,18,3.92,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,4,10104,201,1,1,2019,4,2.2,20.72,17.6,2.9,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,4,10104,201,1,1,2019,5,2.6,17.84,18,3.53,12.4,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,5,10105,126,2,4,2018,1,5,21.12,20,3.71,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,5,10105,126,2,4,2018,2,NA,NA,NA,4.38,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,5,10105,126,2,4,2018,3,NA,NA,18,2.21,7,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,5,10105,126,2,4,2019,1,3.2,15.95,25.5,5.79,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,5,10105,126,2,4,2019,2,2.1,NA,9.7,1.61,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,5,10105,126,2,4,2019,3,NA,NA,14.6,3.45,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,5,10105,126,2,4,2019,4,NA,NA,14.8,2.8,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,5,10105,126,2,4,2019,5,NA,NA,13.9,2.3,9.2,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,6,10106,191,2,3,2018,1,4.2,22.66,23,3.91,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,6,10106,191,2,3,2018,2,NA,NA,NA,4.77,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,6,10106,191,2,3,2018,3,NA,NA,22,3.29,9,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,6,10106,191,2,3,2019,1,2.6,20.12,24.5,5.2,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,6,10106,191,2,3,2019,2,2,NA,14.3,2.46,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,6,10106,191,2,3,2019,3,NA,NA,17.3,3.34,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,6,10106,191,2,3,2019,4,NA,NA,17,3.32,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,6,10106,191,2,3,2019,5,NA,NA,17.4,2.31,11.4,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,7,10107,159,2,2,2018,1,3.7,19.26,24,3.95,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,7,10107,159,2,2,2018,2,NA,NA,NA,4.98,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,7,10107,159,2,2,2018,3,NA,NA,25,3.33,18,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,7,10107,159,2,2,2019,1,2.8,16.11,28,5.39,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,7,10107,159,2,2,2019,2,2.4,NA,16.3,3.14,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,7,10107,159,2,2,2019,3,NA,NA,21,3.66,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,7,10107,159,2,2,2019,4,NA,NA,20.3,3.28,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,7,10107,159,2,2,2019,5,NA,NA,18.6,2.99,13.7,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,8,10108,139,2,1,2018,1,2.7,19.86,23,5.15,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,8,10108,139,2,1,2018,2,NA,NA,NA,5.37,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,8,10108,139,2,1,2018,3,NA,NA,22,3.42,12,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,8,10108,139,2,1,2019,1,2.8,17.5,24,6.8,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,8,10108,139,2,1,2019,2,2.4,NA,14.4,2.85,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,8,10108,139,2,1,2019,3,NA,NA,18,3.55,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,8,10108,139,2,1,2019,4,NA,NA,17.8,3.2,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,8,10108,139,2,1,2019,5,NA,NA,17.3,3.21,7.6,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,9,10109,77,3,4,2018,1,4.1,20.85,20,3.15,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,9,10109,77,3,4,2018,2,NA,NA,NA,3.82,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,9,10109,77,3,4,2018,3,NA,NA,22,2.08,12,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,9,10109,77,3,4,2019,1,2.6,16.71,28,5.74,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,9,10109,77,3,4,2019,2,2.4,NA,14.2,2.5,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,9,10109,77,3,4,2019,3,NA,NA,16.9,3.3,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,9,10109,77,3,4,2019,4,NA,NA,15,2.71,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,9,10109,77,3,4,2019,5,NA,NA,16.8,2.09,7.9,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,10,10110,69,3,3,2018,1,3,20.83,29,3.66,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,10,10110,69,3,3,2018,2,NA,NA,NA,5.08,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,10,10110,69,3,3,2018,3,NA,NA,22,2.96,8,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,10,10110,69,3,3,2019,1,2.6,18.78,27.5,5.61,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,10,10110,69,3,3,2019,2,2.1,NA,20.3,3.62,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,10,10110,69,3,3,2019,3,NA,NA,22.9,3.66,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,10,10110,69,3,3,2019,4,NA,NA,20.6,3.37,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,10,10110,69,3,3,2019,5,NA,NA,22.6,2.36,13.7,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,11,10111,121,3,2,2018,1,4,20.95,24,4.11,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,11,10111,121,3,2,2018,2,NA,NA,NA,4.3,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,11,10111,121,3,2,2018,3,NA,NA,30,3.38,15,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,11,10111,121,3,2,2019,1,2.7,16.89,27.5,4.81,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,11,10111,121,3,2,2019,2,2.4,NA,16.2,3.16,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,11,10111,121,3,2,2019,3,NA,NA,20.6,3.76,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,11,10111,121,3,2,2019,4,NA,NA,17,3.33,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,11,10111,121,3,2,2019,5,NA,NA,19.8,2.84,13.7,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,12,10112,84,3,1,2018,1,3.7,19.31,23,4.88,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,12,10112,84,3,1,2018,2,NA,NA,NA,4.25,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,12,10112,84,3,1,2018,3,NA,NA,18,3.44,17,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,12,10112,84,3,1,2019,1,3,17.91,30,4.94,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,12,10112,84,3,1,2019,2,2.3,NA,18,3.32,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,12,10112,84,3,1,2019,3,NA,NA,19.8,3.81,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,12,10112,84,3,1,2019,4,NA,NA,18.5,3.51,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,12,10112,84,3,1,2019,5,NA,NA,18.5,3.27,11.1,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,13,10113,133,4,4,2018,1,4.5,20.91,24,3.26,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,13,10113,133,4,4,2018,2,NA,NA,NA,3.34,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,13,10113,133,4,4,2018,3,NA,NA,15,1.84,10,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,13,10113,133,4,4,2019,1,2.9,16.07,23.5,3.86,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,13,10113,133,4,4,2019,2,2.1,NA,14.5,2.11,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,13,10113,133,4,4,2019,3,NA,NA,14.8,3.07,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,13,10113,133,4,4,2019,4,NA,NA,13.3,2.3,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,13,10113,133,4,4,2019,5,NA,NA,16.9,1.7,9.5,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,14,10114,125,4,3,2018,1,4,21.52,20,4.14,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,14,10114,125,4,3,2018,2,NA,NA,NA,4.42,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,14,10114,125,4,3,2018,3,NA,NA,19,2.95,6,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,14,10114,125,4,3,2019,1,2.5,16.62,21.5,4.33,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,14,10114,125,4,3,2019,2,1.3,NA,10.7,1.67,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,14,10114,125,4,3,2019,3,NA,NA,13.6,2.66,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,14,10114,125,4,3,2019,4,NA,NA,10.8,3.2,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,14,10114,125,4,3,2019,5,NA,NA,13.1,2.13,5.4,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,15,10115,202,4,2,2018,1,4.4,20.36,23,4.45,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,15,10115,202,4,2,2018,2,3.2,20.57,21,4.4,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,15,10115,202,4,2,2018,3,2.5,19.49,19,3.15,9,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,15,10115,202,4,2,2019,1,2.9,16.53,26,6.02,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,15,10115,202,4,2,2019,2,2.3,NA,14,2.11,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,15,10115,202,4,2,2019,3,2.2,19.31,16.3,3.13,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,15,10115,202,4,2,2019,4,2.3,17.86,15.8,2.5,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,15,10115,202,4,2,2019,5,2.8,17.49,16.9,2.39,11.4,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,16,10116,32,4,1,2018,1,4.4,20.93,23,5.74,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,16,10116,32,4,1,2018,2,NA,NA,NA,5.13,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,16,10116,32,4,1,2018,3,NA,NA,23,3.57,15,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,16,10116,32,4,1,2019,1,2.2,17.73,25,6.89,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,16,10116,32,4,1,2019,2,2.3,NA,17.8,3.46,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,16,10116,32,4,1,2019,3,NA,NA,19.6,4,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,16,10116,32,4,1,2019,4,NA,NA,18.3,3.61,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,16,10116,32,4,1,2019,5,NA,NA,20.5,3.17,15.9,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,17,10117,37,5,4,2018,1,5,20.58,22,3.17,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,17,10117,37,5,4,2018,2,NA,NA,NA,3.18,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,17,10117,37,5,4,2018,3,NA,NA,21,1,6,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,17,10117,37,5,4,2019,1,2.6,15.8,26.5,4.67,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,17,10117,37,5,4,2019,2,1.2,NA,10.3,1.9,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,17,10117,37,5,4,2019,3,NA,NA,14.3,2.03,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,17,10117,37,5,4,2019,4,NA,NA,9,2.06,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,17,10117,37,5,4,2019,5,NA,NA,14.4,1.89,8.9,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,18,10118,13,5,3,2018,1,4.1,20.69,23,4.26,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,18,10118,13,5,3,2018,2,NA,NA,NA,4.5,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,18,10118,13,5,3,2018,3,NA,NA,22,3.35,6,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,18,10118,13,5,3,2019,1,2.9,16.28,24.5,5.59,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,18,10118,13,5,3,2019,2,1.9,NA,12,2.46,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,18,10118,13,5,3,2019,3,NA,NA,14.4,3.34,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,18,10118,13,5,3,2019,4,NA,NA,13.3,3.2,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,18,10118,13,5,3,2019,5,NA,NA,17.4,2.41,7.3,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,19,10119,116,5,2,2018,1,3,20.39,23,4.22,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,19,10119,116,5,2,2018,2,NA,NA,NA,4.28,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,19,10119,116,5,2,2018,3,NA,NA,22,3.17,9,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,19,10119,116,5,2,2019,1,2.6,16.44,29.5,5,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,19,10119,116,5,2,2019,2,1.6,NA,14.7,2.39,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,19,10119,116,5,2,2019,3,NA,NA,15,3.55,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,19,10119,116,5,2,2019,4,NA,NA,15.3,2.87,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,19,10119,116,5,2,2019,5,NA,NA,15.1,2.48,8.6,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,1,20,10120,164,5,1,2018,1,3.9,20.03,24,5.36,NA,5.22,4.45,24,23,20.98,20.36,5.2,4.4
WA,1,20,10120,164,5,1,2018,2,NA,NA,NA,4.59,NA,4.4,4.4,23,21,19.51,20.57,3.3,3.2
WA,1,20,10120,164,5,1,2018,3,NA,NA,20,3.9,11,3.9,3.15,22,19,21.3,19.49,2.1,2.5
WA,1,20,10120,164,5,1,2019,1,2.3,19.28,25,5.83,NA,5.98,6.02,24.5,26,18.86,16.53,2.9,2.9
WA,1,20,10120,164,5,1,2019,2,2.3,NA,14.8,4.15,NA,3.2,2.11,15.3,14,19.21,NA,2.3,2.3
WA,1,20,10120,164,5,1,2019,3,NA,NA,17.3,4.42,NA,3.92,3.13,18,16.3,19.78,19.31,2.4,2.2
WA,1,20,10120,164,5,1,2019,4,NA,NA,17.1,3.85,NA,2.9,2.5,17.6,15.8,20.72,17.86,2.2,2.3
WA,1,20,10120,164,5,1,2019,5,NA,NA,17.6,3.27,12.1,3.53,2.39,18,16.9,17.84,17.49,2.6,2.8
WA,2,1,10201,35,6,4,2018,1,5.3,20.78,21,2.68,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA,2,1,10201,35,6,4,2018,2,NA,NA,NA,3.84,NA,4.7,3.51,23,22,20.08,22.44,3.1,4
WA,2,1,10201,35,6,4,2018,3,NA,NA,20,2.12,8,3.22,1.64,22,22.5,20.59,25.94,2.3,3.2
WA,2,1,10201,35,6,4,2019,1,2.6,17.17,28,4.93,NA,5.77,5.41,26.5,29,17.3,18.31,2.7,2.8
WA,2,1,10201,35,6,4,2019,2,2.8,NA,16.7,3.23,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA,2,1,10201,35,6,4,2019,3,NA,NA,19.3,3.68,NA,3.45,3.05,14.5,15.1,19.14,20.61,2.1,2.4
WA,2,1,10201,35,6,4,2019,4,NA,NA,14.3,2.64,NA,3.05,2.32,16,16.5,17.73,18.95,2.3,2.5
WA,2,1,10201,35,6,4,2019,5,NA,NA,17.1,1.99,19.1,2.55,1.44,16.5,17,19.18,19.47,2.4,2.6
WA,2,2,10202,146,6,3,2018,1,4.3,21.32,26,4.04,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA,2,2,10202,146,6,3,2018,2,NA,NA,NA,5.31,NA,4.7,3.51,23,22,20.08,22.44,3.1,4
WA,2,2,10202,146,6,3,2018,3,NA,NA,21,3.58,21,3.22,1.64,22,22.5,20.59,25.94,2.3,3.2
WA,2,2,10202,146,6,3,2019,1,2.7,17.75,27,5.52,NA,5.77,5.41,26.5,29,17.3,18.31,2.7,2.8
WA,2,2,10202,146,6,3,2019,2,2.6,NA,19.5,4.34,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA,2,2,10202,146,6,3,2019,3,NA,NA,20.8,4.25,NA,3.45,3.05,14.5,15.1,19.14,20.61,2.1,2.4
WA,2,2,10202,146,6,3,2019,4,NA,NA,19.8,4.01,NA,3.05,2.32,16,16.5,17.73,18.95,2.3,2.5
WA,2,2,10202,146,6,3,2019,5,NA,NA,21.1,3.11,14,2.55,1.44,16.5,17,19.18,19.47,2.4,2.6
WA,2,3,10203,43,6,2,2018,1,4,19.89,23,4.33,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA,2,3,10203,43,6,2,2018,2,NA,NA,NA,4.48,NA,4.7,3.51,23,22,20.08,22.44,3.1,4
WA,2,3,10203,43,6,2,2018,3,NA,NA,24,3.45,8,3.22,1.64,22,22.5,20.59,25.94,2.3,3.2
WA,2,3,10203,43,6,2,2019,1,2.6,15.59,22,5.31,NA,5.77,5.41,26.5,29,17.3,18.31,2.7,2.8
WA,2,3,10203,43,6,2,2019,2,1.9,NA,11.3,2,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA,2,3,10203,43,6,2,2019,3,NA,NA,14.6,3.3,NA,3.45,3.05,14.5,15.1,19.14,20.61,2.1,2.4
WA,2,3,10203,43,6,2,2019,4,NA,NA,13,2.47,NA,3.05,2.32,16,16.5,17.73,18.95,2.3,2.5
WA,2,3,10203,43,6,2,2019,5,NA,NA,15.5,2.36,7.6,2.55,1.44,16.5,17,19.18,19.47,2.4,2.6
WA,2,4,10204,24,6,1,2018,1,3.4,20.44,23,5.32,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA,2,4,10204,24,6,1,2018,2,NA,NA,NA,4.83,NA,4.7,3.51,23,22,20.08,22.44,3.1,4
WA,2,4,10204,24,6,1,2018,3,NA,NA,22,3.69,6,3.22,1.64,22,22.5,20.59,25.94,2.3,3.2
WA,2,4,10204,24,6,1,2019,1,3,16.55,28.5,5.65,NA,5.77,5.41,26.5,29,17.3,18.31,2.7,2.8
WA,2,4,10204,24,6,1,2019,2,2.2,NA,12.8,2.84,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA,2,4,10204,24,6,1,2019,3,NA,NA,16.8,3.38,NA,3.45,3.05,14.5,15.1,19.14,20.61,2.1,2.4
WA,2,4,10204,24,6,1,2019,4,NA,NA,15.3,3.28,NA,3.05,2.32,16,16.5,17.73,18.95,2.3,2.5
WA,2,4,10204,24,6,1,2019,5,NA,NA,15.3,2.78,8.6,2.55,1.44,16.5,17,19.18,19.47,2.4,2.6
WA,2,5,10205,202,7,4,2018,1,5.2,21.04,25,3.26,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA,2,5,10205,202,7,4,2018,2,4,22.44,22,3.51,NA,4.7,3.51,23,22,20.08,22.44,3.1,4
WA,2,5,10205,202,7,4,2018,3,3.2,25.94,22.5,1.64,8,3.22,1.64,22,22.5,20.59,25.94,2.3,3.2
WA,2,5,10205,202,7,4,2019,1,2.8,18.31,29,5.41,NA,5.77,5.41,26.5,29,17.3,18.31,2.7,2.8
WA,2,5,10205,202,7,4,2019,2,2.3,18.21,15.5,2.61,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
WA,2,5,10205,202,7,4,2019,3,2.4,20.61,15.1,3.05,NA,3.45,3.05,14.5,15.1,19.14,20.61,2.1,2.4
WA,2,5,10205,202,7,4,2019,4,2.5,18.95,16.5,2.32,NA,3.05,2.32,16,16.5,17.73,18.95,2.3,2.5
WA,2,5,10205,202,7,4,2019,5,2.6,19.47,17,1.44,13.7,2.55,1.44,16.5,17,19.18,19.47,2.4,2.6
WA,2,6,10206,104,7,3,2018,1,4.2,20.91,24,4.3,NA,3.58,3.26,24,25,18.08,21.04,4.5,5.2
WA,2,6,10206,104,7,3,2018,2,3.1,20.61,23,5.13,NA,4.7,3.51,23,22,20.08,22.44,3.1,4
WA,2,6,10206,104,7,3,2018,3,2.7,25.27,28,3.72,19,3.22,1.64,22,22.5,20.59,25.94,2.3,3.2
WA,2,6,10206,104,7,3,2019,1,2.7,17.46,31,5.88,NA,5.77,5.41,26.5,29,17.3,18.31,2.7,2.8
WA,2,6,10206,104,7,3,2019,2,2.5,17.45,16.2,3.84,NA,2.31,2.61,13,15.5,19.21,18.21,2.7,2.3
