Location,ID,FallDormancy_cm,Year,Cut
WA,10418,1.7,2020,5
WA,10417,NA,2020,5
WA,10504,3.5,2020,5
WA,10503,3.2,2020,5
WA,10502,4.3,2020,5
WA,10501,3.1,2020,5
WA,10508,3.1,2020,5
WA,10507,2.9,2020,5
WA,10506,3.3,2020,5
WA,10505,4.25,2020,5
WA,10512,1.9,2020,5
WA,10511,3.4,2020,5
WA,10510,NA,2020,5
WA,10509,3.1,2020,5
WA,10516,NA,2020,5
WA,10515,2.7,2020,5
WA,10514,4.1,2020,5
WA,10513,3.9,2020,5
WA,10520,4.1,2020,5
WA,10519,4.9,2020,5
WA,10518,3.1,2020,5
WA,10517,NA,2020,5
WA,10604,3.4,2020,5
WA,10603,3.9,2020,5
WA,10602,4.5,2020,5
WA,10601,4.5,2020,5
WA,10608,3.8,2020,5
WA,10607,2.8,2020,5
WA,10606,1.6,2020,5
WA,10605,2.2,2020,5
WA,10612,2.6,2020,5
WA,10611,1.4,2020,5
WA,10610,2.6,2020,5
WA,10609,NA,2020,5
WA,10616,7.5,2020,5
WA,10615,2.5,2020,5
WA,10614,1.2,2020,5
WA,10613,NA,2020,5
WA,10620,3,2020,5
WA,10619,2.8,2020,5
WA,10618,1.4,2020,5
WA,10617,1.2,2020,5
WA,10704,3.4,2020,5
WA,10703,4.4,2020,5
WA,10702,2.8,2020,5
WA,10701,NA,2020,5
WA,10708,3,2020,5
WA,10707,1.2,2020,5
WA,10706,1.3,2020,5
WA,10705,NA,2020,5
WA,10712,5.4,2020,5
WA,10711,2.2,2020,5
WA,10710,NA,2020,5
WA,10709,NA,2020,5
WA,10716,5.6,2020,5
WA,10715,2,2020,5
WA,10714,NA,2020,5
WA,10713,NA,2020,5
WA,10720,2.5,2020,5
WA,10719,3.6,2020,5
WA,10718,NA,2020,5
WA,10717,NA,2020,5
WA,10804,4.3,2020,5
WA,10803,1.2,2020,5
WA,10802,1.6,2020,5
WA,10801,5,2020,5
WA,10808,5.4,2020,5
WA,10807,1.6,2020,5
WA,10806,2.7,2020,5
WA,10805,3.6,2020,5
WA,10812,1.8,2020,5
WA,10811,1.9,2020,5
WA,10810,3.1,2020,5
WA,10809,3.4,2020,5
WA,10816,2,2020,5
WA,10815,1.1,2020,5
WA,10814,NA,2020,5
WA,10813,NA,2020,5
WA,10820,3,2020,5
WA,10819,1.8,2020,5
WA,10818,NA,2020,5
WA,10817,4.4,2020,5
WA,10904,5.6,2020,5
WA,10903,2,2020,5
WA,10902,NA,2020,5
WA,10901,NA,2020,5
WA,10908,1.9,2020,5
WA,10907,1.6,2020,5
WA,10906,NA,2020,5
WA,10905,2.8,2020,5
WA,10912,1.9,2020,5
WA,10911,2.4,2020,5
WA,10910,3.7,2020,5
WA,10909,2,2020,5
WA,10916,3.4,2020,5
WA,10915,2.1,2020,5
WA,10914,1.6,2020,5
WA,10913,1.6,2020,5
WA,10920,4.4,2020,5
WA,10919,2,2020,5
WA,10918,1.5,2020,5
WA,10917,1.5,2020,5
WA,11004,1.9,2020,5
WA,11003,2.9,2020,5
WA,11002,1.7,2020,5
WA,11001,1.5,2020,5
WA,11008,2.6,2020,5
WA,11007,4.3,2020,5
WA,11006,1.9,2020,5
WA,11005,NA,2020,5
WA,11012,NA,2020,5
WA,11011,1.6,2020,5
WA,11010,2,2020,5
WA,11009,3.5,2020,5
WA,11016,2.6,2020,5
WA,11015,2.3,2020,5
WA,11014,1.6,2020,5
WA,11013,1.2,2020,5
WA,11020,2.8,2020,5
WA,11019,1.7,2020,5
WA,11018,2.7,2020,5
WA,11017,2.6,2020,5
WA,11104,1.7,2020,5
WA,11103,2,2020,5
WA,11102,2.8,2020,5
WA,11101,3.2,2020,5
WA,11108,1.1,2020,5
WA,11107,NA,2020,5
WA,11106,1.5,2020,5
WA,11105,1.8,2020,5
WA,11112,4.8,2020,5
WA,11111,4.7,2020,5
WA,11110,2.9,2020,5
WA,11109,1.1,2020,5
WA,11116,NA,2020,5
WA,11115,NA,2020,5
WA,11114,3.6,2020,5
WA,11113,2.3,2020,5
WA,11120,NA,2020,5
WA,11119,NA,2020,5
WA,11118,2.4,2020,5
WA,11117,1.4,2020,5
